"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-07-31,61639,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,969800,-0.000618301731244847,-0.0221818915103852,-0.118844266763584,0.00613311000416261,0.0215740706987495,"2016-07","2016-Q3",1136400,-0.146603308694122,"2014-11"
2019-07-31,84654,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,346100,-0.00115440115440115,-0.0156427758816837,-0.00259365994236311,0.0192684376717194,0.0129545619997744,"2019-02","2019-Q1",353800,-0.0217637083097795,"2017-11"
2019-07-31,61637,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,1412700,0.0106596079553584,0.0388263842929627,-0.0328609570753748,-0.000748651855144167,0.0282701388445179,"2016-12","2016-Q4",1621100,-0.128554685090371,"2014-05"
2019-07-31,91982,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,330100,-0.00512356841470766,-0.0101949025487256,-0.0207653515277366,0.0258172146805526,0.0293420290063098,"2018-09","2018-Q3",338300,-0.0242388412651493,"2018-03"
2019-07-31,84616,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,422100,-0.00518501060570351,-0.0176867582033977,-0.0176867582033977,0.0251511180789037,0.0207301616781075,"2019-01","2019-Q1",433200,-0.0256232686980609,"2017-10"
2019-07-31,91940,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",5,184300,0.00545553737043099,0.0131940626717977,0.0406549971767363,0.0651854200253412,0.0402563462067125,"2019-07","2019-Q3",184300,0,"2019-07"
2019-07-31,93144,"79936","TX","El Paso","El Paso County","El Paso",6,129900,0.00464037122969838,0.00932400932400932,0.0518218623481781,0.0268177744540952,0.00914238230588138,"2007-10","2007-Q4",132400,-0.0188821752265861,"2007-07"
2019-07-31,91733,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,178900,0.0061867266591676,0.0164772727272727,0.0731853629274145,0.0662698510143902,0.0390227361257927,"2019-07","2019-Q3",178900,0,"2019-07"
2019-07-31,61616,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,894700,-0.0097399003873824,-0.0356757921965941,-0.110105430674358,0.0173417229762629,0.030845582096511,"2017-10","2017-Q4",1008400,-0.112752875842919,"2017-01"
2019-07-31,61807,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,430300,-0.000928720687253309,0.000232450023245002,0.0446710366593833,0.0688860160290521,0.0367629960170337,"2019-06","2019-Q2",430700,-0.000928720687253309,"2019-05"
2019-07-31,62037,"11226","NY","New York-Newark-Jersey City","Kings County","New York",10,820200,0,-0.00545652964714442,-0.00473243538405533,0.11478111374201,0.0681313779934232,"2018-12","2018-Q4",832700,-0.0150114086705896,"2018-07"
2019-07-31,84640,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",11,237400,-0.00502933780385583,-0.00959532749269921,-0.0112453144523115,0.0344669010704621,0.00457823929208589,"2007-01","2007-Q1",269900,-0.120414968506854,"2004-08"
2019-07-31,97564,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",12,1205200,0.00016597510373444,-0.0116450713465639,-0.0283779425991616,0.0401652356311291,0.0524272452266714,"2018-11","2018-Q4",1262600,-0.0454617456043086,"2017-08"
2019-07-31,61630,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,966100,-0.00422593279736137,-0.0197849025974026,-0.0653961497533133,0.00474542075761364,0.0205341608466383,"2017-02","2017-Q1",1091600,-0.114968853059729,"2015-06"
