Date,Province_State,Cases,Deaths,New Cases,New Deaths
2020-01-22,Alabama,0,0,0,0
2020-01-23,Alabama,0,0,0,0
2020-01-24,Alabama,0,0,0,0
2020-01-25,Alabama,0,0,0,0
2020-01-26,Alabama,0,0,0,0
2020-01-27,Alabama,0,0,0,0
2020-01-28,Alabama,0,0,0,0
2020-01-29,Alabama,0,0,0,0
2020-01-30,Alabama,0,0,0,0
2020-01-31,Alabama,0,0,0,0
2020-02-01,Alabama,0,0,0,0
2020-02-02,Alabama,0,0,0,0
2020-02-03,Alabama,0,0,0,0
2020-02-04,Alabama,0,0,0,0
2020-02-05,Alabama,0,0,0,0
2020-02-06,Alabama,0,0,0,0
2020-02-07,Alabama,0,0,0,0
2020-02-08,Alabama,0,0,0,0
2020-02-09,Alabama,0,0,0,0
2020-02-10,Alabama,0,0,0,0
2020-02-11,Alabama,0,0,0,0
2020-02-12,Alabama,0,0,0,0
2020-02-13,Alabama,0,0,0,0
2020-02-14,Alabama,0,0,0,0
2020-02-15,Alabama,0,0,0,0
2020-02-16,Alabama,0,0,0,0
2020-02-17,Alabama,0,0,0,0
2020-02-18,Alabama,0,0,0,0
2020-02-19,Alabama,0,0,0,0
2020-02-20,Alabama,0,0,0,0
2020-02-21,Alabama,0,0,0,0
2020-02-22,Alabama,0,0,0,0
2020-02-23,Alabama,0,0,0,0
2020-02-24,Alabama,0,0,0,0
2020-02-25,Alabama,0,0,0,0
2020-02-26,Alabama,0,0,0,0
2020-02-27,Alabama,0,0,0,0
2020-02-28,Alabama,0,0,0,0
2020-02-29,Alabama,0,0,0,0
2020-03-01,Alabama,0,0,0,0
2020-03-02,Alabama,0,0,0,0
2020-03-03,Alabama,0,0,0,0
2020-03-04,Alabama,0,0,0,0
2020-03-05,Alabama,0,0,0,0
2020-03-06,Alabama,0,0,0,0
2020-03-07,Alabama,0,0,0,0
2020-03-08,Alabama,0,0,0,0
2020-03-09,Alabama,0,0,0,0
2020-03-10,Alabama,0,0,0,0
2020-03-11,Alabama,3,0,3,0
2020-03-12,Alabama,4,0,1,0
2020-03-13,Alabama,8,0,4,0
2020-03-14,Alabama,15,0,7,0
2020-03-15,Alabama,28,0,13,0
2020-03-16,Alabama,36,0,8,0
2020-03-17,Alabama,51,0,15,0
2020-03-18,Alabama,61,0,10,0
2020-03-19,Alabama,88,0,27,0
2020-03-20,Alabama,115,0,27,0
2020-03-21,Alabama,149,0,34,0
2020-03-22,Alabama,180,0,31,0
2020-03-23,Alabama,224,0,44,0
2020-03-24,Alabama,298,0,74,0
2020-03-25,Alabama,472,1,174,1
2020-03-26,Alabama,574,1,102,0
2020-03-27,Alabama,684,4,110,3
2020-03-28,Alabama,801,4,117,0
2020-03-29,Alabama,880,10,79,6
2020-03-30,Alabama,1001,10,121,0
2020-03-31,Alabama,1063,31,62,21
2020-04-01,Alabama,1175,27,112,0
2020-04-02,Alabama,1371,37,196,10
