DATE,MEDCPIM094SFRBCLE_PC1
1983-12-01,4.26929
1984-01-01,4.25586
1984-02-01,4.22932
1984-03-01,4.25535
1984-04-01,4.22595
1984-05-01,4.19494
1984-06-01,4.37122
1984-07-01,4.45573
1984-08-01,4.43865
1984-09-01,4.40864
1984-10-01,4.30728
1984-11-01,4.11692
1984-12-01,4.10801
1985-01-01,3.95978
1985-02-01,4.03983
1985-03-01,4.10561
1985-04-01,4.10725
1985-05-01,4.09966
1985-06-01,4.13254
1985-07-01,3.94182
1985-08-01,3.83937
1985-09-01,3.75390
1985-10-01,3.75109
1985-11-01,3.98280
1985-12-01,3.94614
1986-01-01,4.05877
1986-02-01,3.85683
1986-03-01,3.82973
1986-04-01,3.80287
1986-05-01,3.71334
1986-06-01,3.58539
1986-07-01,3.71827
1986-08-01,3.70350
1986-09-01,3.74949
1986-10-01,3.80844
1986-11-01,3.74368
1986-12-01,3.81422
1987-01-01,3.89137
1987-02-01,3.90543
1987-03-01,3.85653
1987-04-01,3.90322
1987-05-01,4.09298
1987-06-01,4.04876
1987-07-01,4.06278
1987-08-01,4.06531
1987-09-01,4.16700
1987-10-01,4.13480
1987-11-01,4.02798
1987-12-01,3.93685
1988-01-01,3.76766
1988-02-01,3.73170
1988-03-01,3.78321
1988-04-01,3.78358
1988-05-01,3.69271
1988-06-01,3.84309
1988-07-01,3.87484
1988-08-01,4.03768
1988-09-01,4.01970
1988-10-01,4.06034
1988-11-01,4.02935
1988-12-01,4.12246
1989-01-01,4.23622
1989-02-01,4.42846
1989-03-01,4.47961
1989-04-01,4.49137
1989-05-01,4.65618
1989-06-01,4.58777
1989-07-01,4.69086
1989-08-01,4.48838
1989-09-01,4.36010
1989-10-01,4.43457
1989-11-01,4.53597
1989-12-01,4.52088
1990-01-01,4.56527
1990-02-01,4.54637
1990-03-01,4.56426
1990-04-01,4.60036
1990-05-01,4.48206
1990-06-01,4.62955
1990-07-01,4.58730
1990-08-01,4.82245
1990-09-01,4.76690
1990-10-01,4.71564
1990-11-01,4.66957
1990-12-01,4.77703
1991-01-01,4.80576
1991-02-01,4.75349
1991-03-01,4.62025
1991-04-01,4.45814
1991-05-01,4.50008
1991-06-01,4.27263
1991-07-01,4.20135
1991-08-01,3.98727
1991-09-01,4.09193
1991-10-01,3.90610
1991-11-01,3.96257
1991-12-01,3.76172
1992-01-01,3.44265
1992-02-01,3.29562
1992-03-01,3.30655
1992-04-01,3.22756
1992-05-01,3.08935
1992-06-01,3.20444
1992-07-01,2.98250
1992-08-01,2.90118
1992-09-01,2.71806
1992-10-01,2.83844
1992-11-01,2.75459
1992-12-01,2.69031
1993-01-01,2.83307
1993-02-01,2.80862
1993-03-01,2.63479
1993-04-01,2.77307
1993-05-01,2.78749
1993-06-01,2.64344
1993-07-01,2.63591
1993-08-01,2.67033
1993-09-01,2.70966
1993-10-01,2.70272
1993-11-01,2.73252
1993-12-01,2.81115
1994-01-01,2.75040
1994-02-01,2.85934
1994-03-01,2.89919
1994-04-01,2.76797
1994-05-01,2.76184
1994-06-01,2.79071
1994-07-01,2.82271
1994-08-01,2.90506
1994-09-01,3.02274
1994-10-01,2.89944
1994-11-01,2.96179
1994-12-01,2.82717
1995-01-01,2.94937
1995-02-01,2.92714
1995-03-01,3.01820
1995-04-01,3.11349
1995-05-01,3.16826
1995-06-01,3.10157
1995-07-01,3.18231
1995-08-01,3.13431
1995-09-01,3.09414
1995-10-01,3.17837
1995-11-01,3.03538
1995-12-01,3.15035
1996-01-01,3.11642
1996-02-01,3.05646
1996-03-01,3.04365
1996-04-01,3.00005
1996-05-01,2.94837
1996-06-01,2.98291
1996-07-01,2.99653
1996-08-01,2.94462
1996-09-01,2.93356
1996-10-01,2.90485
1996-11-01,2.97369
1996-12-01,2.94189
1997-01-01,2.87973
1997-02-01,2.85664
