DATE,CP
1980-01-01,223.244
1980-04-01,194.714
1980-07-01,202.262
1980-10-01,208.875
1981-01-01,213.17
1981-04-01,201.614
1981-07-01,206.868
1981-10-01,203.587
1982-01-01,183.468
1982-04-01,185.364
1982-07-01,180.728
1982-10-01,174.574
1983-01-01,176.17
1983-04-01,195.362
1983-07-01,206.519
1983-10-01,211.822
1984-01-01,220.108
1984-04-01,220.957
1984-07-01,212.293
1984-10-01,213.695
1985-01-01,204.768
1985-04-01,205.85
1985-07-01,209.89
1985-10-01,211.649
1986-01-01,176.84
1986-04-01,172.969
1986-07-01,171.499
1986-10-01,175.984
1987-01-01,187.831
1987-04-01,215.335
1987-07-01,230.169
1987-10-01,239.018
1988-01-01,249.639
1988-04-01,265.179
1988-07-01,264.662
1988-10-01,276.88
1989-01-01,275.1
1989-04-01,268.646
1989-07-01,257.909
1989-10-01,258.272
1990-01-01,268.869
1990-04-01,282.342
1990-07-01,288.2
1990-10-01,289.53
1991-01-01,303.293
1991-04-01,309.454
1991-07-01,314.815
1991-10-01,318.455
1992-01-01,328.586
1992-04-01,340.749
1992-07-01,323.237
1992-10-01,330.015
1993-01-01,328.957
1993-04-01,343.279
1993-07-01,355.933
1993-10-01,375.422
1994-01-01,404.995
1994-04-01,418.333
1994-07-01,439.704
1994-10-01,453.102
1995-01-01,467.603
1995-04-01,491.19
1995-07-01,498.739
1995-10-01,505.677
1996-01-01,524.958
1996-04-01,526.924
1996-07-01,522.644
1996-10-01,534.89
1997-01-01,546.764
1997-04-01,565.264
1997-07-01,587.262
1997-10-01,589.208
1998-01-01,514.609
1998-04-01,512.233
1998-07-01,507.761
1998-10-01,490.487
1999-01-01,523.072
1999-04-01,537.874
1999-07-01,536.794
1999-10-01,556.263
2000-01-01,527.619
2000-04-01,519.852
2000-07-01,513.338
2000-10-01,491.848
2001-01-01,528.87
2001-04-01,551.725
2001-07-01,505.659
2001-10-01,489.502
2002-01-01,538.116
2002-04-01,596.188
2002-07-01,652.183
2002-10-01,725.156
2003-01-01,721.551
2003-04-01,723.397
2003-07-01,763.941
2003-10-01,816.624
2004-01-01,928.207
2004-04-01,967.683
2004-07-01,1010.189
2004-10-01,1010.596
2005-01-01,1228.593
2005-04-01,1252.509
2005-07-01,1296.928
2005-10-01,1363.449
2006-01-01,1387.629
2006-04-01,1424.859
2006-07-01,1444.533
2006-10-01,1397.901
2007-01-01,1325.638
2007-04-01,1400.499
2007-07-01,1345.516
2007-10-01,1367.781
2008-01-01,1260.516
2008-04-01,1285.098
2008-07-01,1225.81
2008-10-01,721.253
2009-01-01,1082.466
2009-04-01,1161.393
2009-07-01,1346.756
2009-10-01,1462.687
2010-01-01,1530.36
2010-04-01,1516.85
2010-07-01,1599.896
2010-10-01,1598.826
2011-01-01,1463.902
2011-04-01,1528.825
2011-07-01,1539.108
2011-10-01,1616.771
2012-01-01,1879.805
2012-04-01,1801.443
2012-07-01,1818.046
2012-10-01,1785.647
2013-01-01,1766.297
2013-04-01,1757.428
2013-07-01,1792.607
2013-10-01,1838.624
2014-01-01,1766.951
2014-04-01,1864.286
2014-07-01,1919.785
2014-10-01,1869.669
2015-01-01,1776.529
2015-04-01,1800.917
2015-07-01,1738.165
2015-10-01,1632.306
2016-01-01,1653.371
2016-04-01,1761.241
2016-07-01,1724.557
2016-10-01,1808.246
2017-01-01,1863.767
2017-04-01,1844.588
2017-07-01,1865.493
2017-10-01,1750.84
2018-01-01,1898.979
2018-04-01,1962.345
