DATE,DSPIC96_PC1
2000-01-01,4.29993
2000-02-01,4.34928
2000-03-01,4.51000
2000-04-01,5.19738
2000-05-01,5.40504
2000-06-01,5.30553
2000-07-01,5.70946
2000-08-01,5.81112
2000-09-01,5.89107
2000-10-01,5.36796
2000-11-01,4.57081
2000-12-01,3.90484
2001-01-01,3.70470
2001-02-01,3.48939
2001-03-01,3.53067
2001-04-01,2.77370
2001-05-01,2.13520
2001-06-01,1.88815
2001-07-01,2.88023
2001-08-01,4.08005
2001-09-01,3.30623
2001-10-01,1.55903
2001-11-01,1.83004
2001-12-01,1.86654
2002-01-01,3.27915
2002-02-01,3.18350
2002-03-01,2.87403
2002-04-01,3.52091
2002-05-01,4.11169
2002-06-01,4.33854
2002-07-01,2.49523
2002-08-01,0.70289
2002-09-01,1.48389
2002-10-01,3.37433
2002-11-01,3.44771
2002-12-01,3.58078
2003-01-01,1.56695
2003-02-01,1.22188
2003-03-01,1.48458
2003-04-01,1.65513
2003-05-01,2.08964
2003-06-01,2.16549
2003-07-01,3.72397
2003-08-01,4.46609
2003-09-01,3.16658
2003-10-01,3.27910
2003-11-01,3.62615
2003-12-01,3.42243
2004-01-01,3.32260
2004-02-01,3.77192
2004-03-01,3.93224
2004-04-01,3.82431
2004-05-01,3.59835
2004-06-01,3.38065
2004-07-01,2.36053
2004-08-01,1.99202
2004-09-01,3.28580
2004-10-01,2.95652
2004-11-01,2.04370
2004-12-01,5.69006
2005-01-01,1.99216
2005-02-01,1.85701
2005-03-01,1.80287
2005-04-01,1.70071
2005-05-01,1.61243
2005-06-01,1.74744
2005-07-01,1.56649
2005-08-01,1.40003
2005-09-01,1.00555
2005-10-01,1.67885
2005-11-01,2.79001
2005-12-01,-0.37229
2006-01-01,4.38263
2006-02-01,4.70779
2006-03-01,4.52772
2006-04-01,4.14670
2006-05-01,3.62853
2006-06-01,3.65577
2006-07-01,3.54394
2006-08-01,3.38160
2006-09-01,4.39425
2006-10-01,4.16644
2006-11-01,3.70809
2006-12-01,3.56265
2007-01-01,2.62279
2007-02-01,2.65115
2007-03-01,2.81777
2007-04-01,2.85842
2007-05-01,2.83998
2007-06-01,2.43089
2007-07-01,2.60067
2007-08-01,2.70678
2007-09-01,2.30113
2007-10-01,1.61774
2007-11-01,1.10597
2007-12-01,1.08422
2008-01-01,1.09020
2008-02-01,0.68947
2008-03-01,0.30142
2008-04-01,-0.09295
2008-05-01,4.75905
2008-06-01,2.14511
2008-07-01,0.45319
2008-08-01,-0.19383
2008-09-01,-0.15435
2008-10-01,0.54630
2008-11-01,1.42604
2008-12-01,0.55189
2009-01-01,0.80580
2009-02-01,-0.21728
2009-03-01,-0.20611
2009-04-01,1.09559
2009-05-01,-1.93082
2009-06-01,-0.92900
2009-07-01,0.18877
2009-08-01,0.50686
2009-09-01,0.41600
2009-10-01,-0.55456
2009-11-01,-1.03049
2009-12-01,0.01465
2010-01-01,-0.32799
2010-02-01,0.69231
2010-03-01,1.05092
2010-04-01,0.98566
2010-05-01,0.13960
2010-06-01,2.00103
2010-07-01,2.64561
2010-08-01,3.20694
2010-09-01,2.91294
2010-10-01,3.50659
2010-11-01,3.45108
2010-12-01,3.61318
2011-01-01,4.02977
2011-02-01,4.30624
2011-03-01,3.64985
2011-04-01,2.60363
2011-05-01,1.68051
2011-06-01,1.97696
2011-07-01,2.10673
2011-08-01,1.69931
2011-09-01,1.61526
2011-10-01,1.64900
2011-11-01,1.40589
2011-12-01,1.60723
2012-01-01,1.94263
2012-02-01,2.30626
2012-03-01,2.98277
2012-04-01,3.57018
2012-05-01,3.76332
2012-06-01,3.37193
2012-07-01,2.33952
2012-08-01,2.05975
2012-09-01,2.74001
2012-10-01,3.33201
2012-11-01,4.81070
2012-12-01,6.51462
2013-01-01,-0.35903
2013-02-01,-1.45494
2013-03-01,-1.65255
2013-04-01,-1.64461
2013-05-01,-1.16356
2013-06-01,-1.14972
2013-07-01,-0.55278
2013-08-01,0.04934
2013-09-01,-0.03059
2013-10-01,-1.04183
2013-11-01,-2.10981
2013-12-01,-4.24084
2014-01-01,2.16193
2014-02-01,3.38216
2014-03-01,3.84002
2014-04-01,3.69625
2014-05-01,3.39000
2014-06-01,3.69648
2014-07-01,4.15914
2014-08-01,4.42084
2014-09-01,4.28145
2014-10-01,4.96690
2014-11-01,5.07191
2014-12-01,5.41226
2015-01-01,5.37344
2015-02-01,5.01823
2015-03-01,4.17543
2015-04-01,4.41161
2015-05-01,4.47549
2015-06-01,4.31715
2015-07-01,4.27389
2015-08-01,4.11211
2015-09-01,4.01455
2015-10-01,3.64966
2015-11-01,3.00410
2015-12-01,2.67755
2016-01-01,2.58303
2016-02-01,2.34318
2016-03-01,2.68617
2016-04-01,1.99445
2016-05-01,1.54894
2016-06-01,1.26901
2016-07-01,1.24886
2016-08-01,1.01736
2016-09-01,1.13880
2016-10-01,1.32683
2016-11-01,1.79064
2016-12-01,1.64854
2017-01-01,1.67128
2017-02-01,1.99975
2017-03-01,2.36992
2017-04-01,2.38638
2017-05-01,2.91250
2017-06-01,2.86086
2017-07-01,2.87438
2017-08-01,2.97790
2017-09-01,2.82963
2017-10-01,2.87305
2017-11-01,2.71980
2017-12-01,2.74993
2018-01-01,2.99719
2018-02-01,2.74418
2018-03-01,2.59707
2018-04-01,2.88282
2018-05-01,2.64346
2018-06-01,3.03270
2018-07-01,2.89936
2018-08-01,2.96328
2018-09-01,2.87454
