DATE,FGEXPND
1980-01-01,583.861
1980-04-01,608.694
1980-07-01,639.968
1980-10-01,657.298
1981-01-01,680.243
1981-04-01,695.699
1981-07-01,722.114
1981-10-01,738.484
1982-01-01,753.575
1982-04-01,767.553
1982-07-01,794.534
1982-10-01,828.404
1983-01-01,831.494
1983-04-01,852.517
1983-07-01,864.3
1983-10-01,859.457
1984-01-01,874.942
1984-04-01,897.828
1984-07-01,914.311
1984-10-01,943.661
1985-01-01,952.096
1985-04-01,966.688
1985-07-01,984.669
1985-10-01,996.43
1986-01-01,1007.454
1986-04-01,1033.105
1986-07-01,1052.329
1986-10-01,1042.504
1987-01-01,1045.149
1987-04-01,1061.117
1987-07-01,1064.747
1987-10-01,1089.898
1988-01-01,1107.967
1988-04-01,1108.813
1988-07-01,1120.902
1988-10-01,1151.873
1989-01-01,1171.136
1989-04-01,1194.208
1989-07-01,1212.452
1989-10-01,1229.556
1990-01-01,1261.251
1990-04-01,1287.513
1990-07-01,1297.056
1990-10-01,1317.797
1991-01-01,1281.354
1991-04-01,1345.598
1991-07-01,1384.626
1991-10-01,1413.344
1992-01-01,1458.39
1992-04-01,1476.444
1992-07-01,1498.726
1992-10-01,1521.869
1993-01-01,1522.365
1993-04-01,1532.659
1993-07-01,1550.905
1993-10-01,1572.369
1994-01-01,1552.96
1994-04-01,1567.862
1994-07-01,1596.722
1994-10-01,1622.331
1995-01-01,1642.508
1995-04-01,1659.406
1995-07-01,1670.844
1995-10-01,1665.404
1996-01-01,1701.217
1996-04-01,1711.469
1996-07-01,1715.062
1996-10-01,1735.168
1997-01-01,1736.733
1997-04-01,1755.842
1997-07-01,1757.977
1997-10-01,1786.848
1998-01-01,1768.79
1998-04-01,1781.911
1998-07-01,1788.538
1998-10-01,1814.518
1999-01-01,1814.003
1999-04-01,1819.569
1999-07-01,1844.133
1999-10-01,1881.138
2000-01-01,1869.772
2000-04-01,1912.996
2000-07-01,1922.633
2000-10-01,1946.339
2001-01-01,1983.582
2001-04-01,2005.161
2001-07-01,2037.942
2001-10-01,2046.126
2002-01-01,2098.885
2002-04-01,2132.147
2002-07-01,2148.387
2002-10-01,2189.634
2003-01-01,2230.652
2003-04-01,2303.444
2003-07-01,2313.917
2003-10-01,2350.681
2004-01-01,2395.039
2004-04-01,2402.42
2004-07-01,2432.466
2004-10-01,2484.47
2005-01-01,2557.429
2005-04-01,2583.948
2005-07-01,2614.322
2005-10-01,2685.559
2006-01-01,2729.382
2006-04-01,2761.513
2006-07-01,2787.345
2006-10-01,2785.28
2007-01-01,2885.77
2007-04-01,2916.623
2007-07-01,2938.224
2007-10-01,2995.137
2008-01-01,3062.772
2008-04-01,3398.792
2008-07-01,3220.018
2008-10-01,3165.633
2009-01-01,3279.524
2009-04-01,3535.6
2009-07-01,3552.639
2009-10-01,3585.766
2010-01-01,3738.001
2010-04-01,3739.037
2010-07-01,3780.651
2010-10-01,3818.766
2011-01-01,3828.019
2011-04-01,3873.071
2011-07-01,3772.624
2011-10-01,3785.278
2012-01-01,3780.406
2012-04-01,3784.53
2012-07-01,3747.79
2012-10-01,3803.166
2013-01-01,3761.895
2013-04-01,3786.042
2013-07-01,3781.144
2013-10-01,3778.48
2014-01-01,3843.771
2014-04-01,3887.207
2014-07-01,3929.107
2014-10-01,3915.926
2015-01-01,3939.858
2015-04-01,4017.654
2015-07-01,4057.075
2015-10-01,4046.141
2016-01-01,4085.235
2016-04-01,4117.295
2016-07-01,4166.734
2016-10-01,4192.946
2017-01-01,4228.332
2017-04-01,4200.268
2017-07-01,4250.874
2017-10-01,4337.201
2018-01-01,4398.205
2018-04-01,4449.875
2018-07-01,4507.562
