Date,Hardware
1/4/2010,0.91
1/5/2010,0.91
1/6/2010,0.91
1/7/2010,0.91
1/8/2010,0.91
1/11/2010,0.91
1/12/2010,0.91
1/13/2010,0.91
1/14/2010,0.92
1/15/2010,0.92
1/19/2010,0.92
1/20/2010,0.93
1/21/2010,0.91
1/22/2010,0.92
1/25/2010,0.93
1/26/2010,0.93
1/27/2010,0.93
1/28/2010,0.92
1/29/2010,0.93
2/1/2010,0.93
2/2/2010,0.93
2/3/2010,0.93
2/4/2010,0.93
2/5/2010,0.94
2/8/2010,0.93
2/9/2010,0.93
2/10/2010,0.93
2/11/2010,0.93
2/12/2010,0.93
2/16/2010,0.93
2/17/2010,0.94
2/18/2010,0.94
2/19/2010,0.93
2/22/2010,0.93
2/23/2010,0.92
2/24/2010,0.92
2/25/2010,0.92
2/26/2010,0.93
3/1/2010,0.93
3/2/2010,0.93
3/3/2010,0.93
3/4/2010,0.93
3/5/2010,0.93
3/8/2010,0.93
3/9/2010,0.92
3/10/2010,0.94
3/11/2010,0.93
3/12/2010,0.93
3/15/2010,0.93
3/16/2010,0.93
3/17/2010,0.94
3/18/2010,0.94
3/19/2010,0.94
3/22/2010,0.94
3/23/2010,0.94
3/24/2010,0.94
3/25/2010,0.94
3/26/2010,0.95
3/29/2010,0.94
3/30/2010,0.95
3/31/2010,0.95
4/1/2010,0.95
4/5/2010,0.95
4/6/2010,0.95
4/7/2010,0.95
4/8/2010,0.95
4/9/2010,0.95
4/12/2010,0.95
4/13/2010,0.95
4/14/2010,0.95
4/15/2010,0.95
4/16/2010,0.95
4/19/2010,0.95
4/20/2010,0.96
4/21/2010,0.96
4/22/2010,0.96
4/23/2010,0.96
4/26/2010,0.98
4/27/2010,0.98
4/28/2010,0.99
4/29/2010,0.98
4/30/2010,0.99
5/3/2010,0.99
5/4/2010,0.99
5/5/2010,0.99
5/6/2010,0.99
5/7/2010,1
5/10/2010,1.02
5/11/2010,1.02
5/12/2010,1.02
5/13/2010,1.02
5/14/2010,1.02
5/17/2010,1.02
5/18/2010,1.02
5/19/2010,1.02
5/20/2010,1.01
5/21/2010,1.02
5/24/2010,1.01
5/25/2010,1.01
5/26/2010,1.01
5/27/2010,1.02
5/28/2010,1.01
6/1/2010,1.01
6/2/2010,1.01
6/3/2010,1.01
6/4/2010,1.01
6/7/2010,1.01
6/8/2010,1.01
6/9/2010,1.02
6/10/2010,1.02
6/11/2010,1.02
6/14/2010,1.02
6/15/2010,1.02
6/16/2010,1.02
6/17/2010,1.02
6/18/2010,1.02
6/21/2010,1.02
6/22/2010,1.03
6/23/2010,1.03
6/24/2010,1.03
6/25/2010,1.03
6/28/2010,1.03
6/29/2010,1.03
