Date,Internet,Semiconductor,Hardware,Software
1/4/2010,0.93,1.18,0.91,0.99
1/5/2010,0.93,1.18,0.91,0.99
1/6/2010,0.94,1.17,0.91,1
1/7/2010,0.94,1.16,0.91,0.99
1/8/2010,0.94,1.17,0.91,0.99
1/11/2010,0.94,1.17,0.91,0.99
1/12/2010,0.93,1.17,0.91,0.99
1/13/2010,0.93,1.17,0.91,0.99
1/14/2010,0.93,1.17,0.92,0.99
1/15/2010,0.93,1.17,0.92,0.99
1/19/2010,0.93,1.16,0.92,0.99
1/20/2010,0.93,1.16,0.93,0.98
1/21/2010,0.91,1.18,0.91,0.99
1/22/2010,0.92,1.19,0.92,0.96
1/25/2010,0.92,1.18,0.93,0.96
1/26/2010,0.92,1.18,0.93,0.96
1/27/2010,0.91,1.18,0.93,0.96
1/28/2010,0.9,1.18,0.92,0.96
1/29/2010,0.9,1.18,0.93,0.97
2/1/2010,0.91,1.19,0.93,0.97
2/2/2010,0.9,1.18,0.93,0.96
2/3/2010,0.91,1.18,0.93,0.96
2/4/2010,0.91,1.19,0.93,0.96
2/5/2010,0.9,1.18,0.94,0.96
2/8/2010,0.9,1.19,0.93,0.96
2/9/2010,0.9,1.19,0.93,0.96
2/10/2010,0.88,1.19,0.93,0.97
2/11/2010,0.88,1.19,0.93,0.97
2/12/2010,0.88,1.19,0.93,0.97
2/16/2010,0.88,1.19,0.93,0.97
2/17/2010,0.88,1.19,0.94,0.97
2/18/2010,0.88,1.19,0.94,0.97
2/19/2010,0.88,1.18,0.93,0.98
2/22/2010,0.88,1.18,0.93,0.98
2/23/2010,0.87,1.19,0.92,0.98
2/24/2010,0.86,1.18,0.92,0.99
2/25/2010,0.86,1.18,0.92,0.99
2/26/2010,0.86,1.18,0.93,0.98
3/1/2010,0.87,1.18,0.93,0.98
3/2/2010,0.86,1.18,0.93,0.99
3/3/2010,0.86,1.18,0.93,0.99
3/4/2010,0.87,1.17,0.93,0.99
3/5/2010,0.86,1.18,0.93,0.99
3/8/2010,0.87,1.19,0.93,0.99
3/9/2010,0.86,1.2,0.92,0.99
3/10/2010,0.86,1.19,0.94,0.97
3/11/2010,0.86,1.2,0.93,0.97
3/12/2010,0.86,1.2,0.93,0.98
3/15/2010,0.86,1.2,0.93,0.98
3/16/2010,0.86,1.2,0.93,0.97
3/17/2010,0.85,1.2,0.94,0.97
3/18/2010,0.85,1.2,0.94,0.97
3/19/2010,0.86,1.2,0.94,0.97
3/22/2010,0.86,1.19,0.94,0.97
3/23/2010,0.85,1.21,0.94,0.96
3/24/2010,0.85,1.2,0.94,0.95
3/25/2010,0.85,1.2,0.94,0.95
3/26/2010,0.86,1.19,0.95,0.95
3/29/2010,0.87,1.2,0.94,0.94
3/30/2010,0.87,1.19,0.95,0.94
3/31/2010,0.87,1.2,0.95,0.93
4/1/2010,0.87,1.21,0.95,0.92
4/5/2010,0.88,1.21,0.95,0.94
4/6/2010,0.87,1.21,0.95,0.94
4/7/2010,0.87,1.21,0.95,0.94
4/8/2010,0.87,1.21,0.95,0.95
4/9/2010,0.87,1.21,0.95,0.95
4/12/2010,0.86,1.21,0.95,0.96
4/13/2010,0.87,1.21,0.95,0.96
4/14/2010,0.86,1.22,0.95,0.95
4/15/2010,0.87,1.22,0.95,0.95
4/16/2010,0.89,1.23,0.95,0.94
4/19/2010,0.9,1.23,0.95,0.94
4/20/2010,0.89,1.22,0.96,0.94
4/21/2010,0.89,1.23,0.96,0.94
4/22/2010,0.89,1.23,0.96,0.94
4/23/2010,0.89,1.23,0.96,0.93
4/26/2010,0.9,1.24,0.98,0.9
4/27/2010,0.89,1.24,0.98,0.9
4/28/2010,0.89,1.24,0.99,0.9
4/29/2010,0.89,1.24,0.98,0.9
4/30/2010,0.88,1.25,0.99,0.9
5/3/2010,0.89,1.25,0.99,0.9
5/4/2010,0.9,1.23,0.99,0.91
5/5/2010,0.9,1.23,0.99,0.91
5/6/2010,0.89,1.22,0.99,0.91
5/7/2010,0.9,1.21,1,0.91
5/10/2010,0.92,1.2,1.02,0.9
5/11/2010,0.92,1.2,1.02,0.9
5/12/2010,0.91,1.2,1.02,0.9
5/13/2010,0.89,1.21,1.02,0.9
5/14/2010,0.89,1.21,1.02,0.9
5/17/2010,0.89,1.21,1.02,0.9
5/18/2010,0.89,1.22,1.02,0.9
5/19/2010,0.89,1.22,1.02,0.9
5/20/2010,0.9,1.21,1.01,0.91
5/21/2010,0.91,1.21,1.02,0.91
5/24/2010,0.9,1.21,1.01,0.91
5/25/2010,0.91,1.21,1.01,0.91
5/26/2010,0.91,1.21,1.01,0.91
5/27/2010,0.9,1.22,1.02,0.92
5/28/2010,0.9,1.22,1.01,0.91
6/1/2010,0.9,1.22,1.01,0.92
6/2/2010,0.91,1.21,1.01,0.92
6/3/2010,0.91,1.21,1.01,0.93
6/4/2010,0.9,1.22,1.01,0.94
6/7/2010,0.9,1.22,1.01,0.94
6/8/2010,0.9,1.22,1.01,0.94
6/9/2010,0.9,1.22,1.02,0.94
6/10/2010,0.9,1.22,1.02,0.93
6/11/2010,0.9,1.22,1.02,0.94
6/14/2010,0.91,1.22,1.02,0.94
6/15/2010,0.91,1.22,1.02,0.95
6/16/2010,0.91,1.22,1.02,0.94
6/17/2010,0.91,1.22,1.02,0.94
6/18/2010,0.91,1.22,1.02,0.94
6/21/2010,0.91,1.22,1.02,0.94
6/22/2010,0.9,1.22,1.03,0.94
6/23/2010,0.9,1.22,1.03,0.94
6/24/2010,0.9,1.22,1.03,0.93
6/25/2010,0.9,1.23,1.03,0.93
6/28/2010,0.9,1.23,1.03,0.93
6/29/2010,0.91,1.22,1.03,0.94
6/30/2010,0.91,1.22,1.03,0.93
7/1/2010,0.91,1.22,1.03,0.93
7/2/2010,0.91,1.23,1.03,0.93
7/6/2010,0.91,1.22,1.03,0.93
7/7/2010,0.9,1.23,1.04,0.92
7/8/2010,0.9,1.23,1.04,0.92
7/9/2010,0.9,1.23,1.04,0.92
7/12/2010,0.9,1.23,1.04,0.92
7/13/2010,0.91,1.23,1.03,0.92
7/14/2010,0.91,1.23,1.03,0.92
7/15/2010,0.91,1.22,1.04,0.92
7/16/2010,0.94,1.21,1.03,0.92
7/19/2010,0.94,1.22,1.02,0.92
7/20/2010,0.95,1.21,1.02,0.92
7/21/2010,0.95,1.22,1.02,0.92
7/22/2010,0.94,1.21,1.01,0.93
7/23/2010,0.94,1.21,1.02,0.92
7/26/2010,0.94,1.21,1.02,0.92
7/27/2010,0.94,1.21,1.02,0.92
7/28/2010,0.94,1.21,1.02,0.92
7/29/2010,0.94,1.22,1.02,0.92
7/30/2010,0.94,1.22,1.02,0.92
8/2/2010,0.93,1.22,1.02,0.92
8/3/2010,0.93,1.22,1.02,0.92
8/4/2010,0.94,1.22,1.02,0.92
8/5/2010,0.94,1.22,1.02,0.92
8/6/2010,0.94,1.22,1.02,0.92
8/9/2010,0.94,1.22,1.02,0.92
8/10/2010,0.94,1.22,1.02,0.92
8/11/2010,0.94,1.22,1.03,0.91
8/12/2010,0.93,1.22,1.02,0.91
8/13/2010,0.93,1.22,1.02,0.91
8/16/2010,0.93,1.22,1.02,0.91
8/17/2010,0.93,1.22,1.02,0.91
8/18/2010,0.93,1.22,1.02,0.91
8/19/2010,0.93,1.22,1.02,0.91
8/20/2010,0.93,1.23,1.02,0.91
8/23/2010,0.93,1.23,1.03,0.91
8/24/2010,0.93,1.22,1.03,0.91
8/25/2010,0.93,1.22,1.03,0.91
8/26/2010,0.93,1.22,1.03,0.91
8/27/2010,0.93,1.22,1.03,0.91
8/30/2010,0.93,1.23,1.02,0.91
8/31/2010,0.93,1.23,1.02,0.91
9/1/2010,0.93,1.22,1.02,0.91
9/2/2010,0.93,1.23,1.02,0.91
9/3/2010,0.93,1.22,1.03,0.91
9/7/2010,0.93,1.22,1.03,0.9
9/8/2010,0.94,1.22,1.03,0.9
9/9/2010,0.94,1.22,1.03,0.9
9/10/2010,0.93,1.23,1.03,0.9
9/13/2010,0.93,1.23,1.02,0.91
9/14/2010,0.93,1.23,1.02,0.91
9/15/2010,0.93,1.23,1.02,0.91
9/16/2010,0.92,1.23,1.02,0.91
9/17/2010,0.93,1.23,1.02,0.91
9/20/2010,0.93,1.23,1.02,0.91
9/21/2010,0.93,1.23,1.02,0.91
9/22/2010,0.93,1.23,1.02,0.91
9/23/2010,0.93,1.23,1.02,0.91
9/24/2010,0.93,1.23,1.02,0.91
9/27/2010,0.93,1.23,1.02,0.91
9/28/2010,0.93,1.23,1.03,0.91
9/29/2010,0.93,1.23,1.03,0.91
9/30/2010,0.93,1.23,1.03,0.91
10/1/2010,0.94,1.23,1.03,0.91
10/4/2010,0.94,1.23,1.03,0.91
10/5/2010,0.94,1.22,1.04,0.91
10/6/2010,0.94,1.22,1.04,0.91
10/7/2010,0.93,1.22,1.04,0.91
10/8/2010,0.94,1.23,1.04,0.91
10/11/2010,0.94,1.22,1.04,0.91
10/12/2010,0.94,1.22,1.04,0.91
10/13/2010,0.94,1.22,1.04,0.91
10/14/2010,0.94,1.22,1.04,0.92
10/15/2010,0.97,1.21,1.04,0.91
10/18/2010,0.98,1.2,1.04,0.92
10/19/2010,0.98,1.2,1.04,0.92
10/20/2010,0.98,1.2,1.04,0.92
10/21/2010,0.98,1.2,1.04,0.92
10/22/2010,0.98,1.2,1.04,0.92
10/25/2010,0.98,1.19,1.04,0.92
10/26/2010,0.98,1.19,1.04,0.92
10/27/2010,0.98,1.2,1.04,0.92
10/28/2010,0.98,1.19,1.04,0.92
10/29/2010,0.98,1.19,1.04,0.92
11/1/2010,0.98,1.2,1.04,0.92
11/2/2010,0.98,1.2,1.04,0.92
11/3/2010,0.98,1.2,1.04,0.92
11/4/2010,0.97,1.2,1.04,0.92
11/5/2010,0.97,1.2,1.04,0.92
11/8/2010,0.97,1.2,1.04,0.92
11/9/2010,0.98,1.2,1.04,0.92
11/10/2010,0.98,1.2,1.04,0.92
11/11/2010,0.97,1.19,1.04,0.92
11/12/2010,0.98,1.18,1.04,0.92
11/15/2010,0.98,1.18,1.04,0.92
11/16/2010,0.98,1.18,1.04,0.92
11/17/2010,0.98,1.18,1.04,0.92
11/18/2010,0.98,1.17,1.05,0.92
11/19/2010,0.99,1.17,1.05,0.92
11/22/2010,0.98,1.17,1.05,0.92
11/23/2010,0.98,1.17,1.04,0.92
11/24/2010,0.99,1.17,1.04,0.92
11/26/2010,0.99,1.17,1.04,0.92
11/29/2010,0.99,1.17,1.04,0.92
11/30/2010,1,1.17,1.04,0.92
12/1/2010,1,1.16,1.04,0.92
12/2/2010,1,1.16,1.04,0.92
12/3/2010,1,1.16,1.04,0.92
12/6/2010,1,1.16,1.04,0.92
12/7/2010,1,1.16,1.04,0.92
12/8/2010,1,1.16,1.04,0.92
12/9/2010,1,1.16,1.04,0.92
12/10/2010,1,1.16,1.04,0.92
12/13/2010,1,1.16,1.04,0.92
12/14/2010,1,1.16,1.04,0.92
12/15/2010,1,1.16,1.04,0.92
12/16/2010,1,1.16,1.04,0.92
12/17/2010,1,1.16,1.04,0.92
12/20/2010,1.01,1.16,1.04,0.92
12/21/2010,1.01,1.16,1.04,0.92
12/22/2010,1.01,1.16,1.04,0.92
12/23/2010,1.01,1.16,1.04,0.92
12/27/2010,1.01,1.16,1.04,0.92
12/28/2010,1.01,1.16,1.04,0.92
12/29/2010,1.01,1.16,1.04,0.92
12/30/2010,1.01,1.16,1.04,0.92
12/31/2010,1.01,1.16,1.04,0.92
1/3/2011,1.01,1.16,1.04,0.92
1/4/2011,1.01,1.16,1.04,0.92
1/5/2011,1.01,1.16,1.04,0.92
1/6/2011,1.01,1.16,1.04,0.92
1/7/2011,1.01,1.16,1.04,0.92
1/10/2011,1.01,1.16,1.04,0.92
1/11/2011,1,1.15,1.04,0.92
1/12/2011,1.01,1.15,1.04,0.92
1/13/2011,1.01,1.15,1.04,0.91
1/14/2011,1.01,1.15,1.04,0.92
1/18/2011,1.01,1.15,1.04,0.92
1/19/2011,1.01,1.16,1.04,0.92
1/20/2011,1.01,1.16,1.04,0.92
1/21/2011,1.01,1.15,1.04,0.92
1/24/2011,1,1.16,1.04,0.92
1/25/2011,1,1.15,1.04,0.92
1/26/2011,1.01,1.15,1.04,0.92
1/27/2011,1.01,1.16,1.04,0.92
1/28/2011,1.02,1.16,1.04,0.93
1/31/2011,1.02,1.15,1.04,0.93
2/1/2011,1.03,1.15,1.04,0.93
2/2/2011,1.03,1.15,1.04,0.93
2/3/2011,1.03,1.15,1.04,0.93
2/4/2011,1.03,1.14,1.04,0.93
2/7/2011,1.03,1.14,1.04,0.93
2/8/2011,1.03,1.14,1.04,0.93
2/9/2011,1.03,1.14,1.04,0.93
2/10/2011,1.03,1.14,1.04,0.93
2/11/2011,1.03,1.14,1.04,0.93
2/14/2011,1.03,1.14,1.04,0.93
2/15/2011,1.03,1.14,1.04,0.93
2/16/2011,1.03,1.14,1.04,0.92
2/17/2011,1.03,1.14,1.04,0.92
2/18/2011,1.03,1.14,1.04,0.92
2/22/2011,1.03,1.14,1.04,0.93
2/23/2011,1.03,1.14,1.04,0.92
2/24/2011,1.03,1.14,1.04,0.92
2/25/2011,1.03,1.14,1.04,0.92
2/28/2011,1.03,1.14,1.04,0.92
3/1/2011,1.03,1.13,1.04,0.93
3/2/2011,1.03,1.14,1.04,0.93
3/3/2011,1.03,1.14,1.04,0.93
3/4/2011,1.03,1.14,1.03,0.93
3/7/2011,1.03,1.14,1.03,0.93
3/8/2011,1.03,1.14,1.03,0.93
3/9/2011,1.02,1.14,1.03,0.93
