Date,S&P 500 Info Tech / S&P 500 Index BEst EPS,S&P 500 Info Tech / S&P 500 Index
9/26/2018,0.4188,0.4506
8/31/2018,0.4115,0.4574
7/31/2018,0.4113,0.4415
6/29/2018,0.4115,0.4483
5/31/2018,0.4115,0.4522
4/30/2018,0.4102,0.4313
3/30/2018,0.4099,0.4323
2/28/2018,0.409,0.438
1/31/2018,0.4009,0.4214
12/29/2017,0.4186,0.4137
11/30/2017,0.4194,0.4179
10/31/2017,0.4138,0.4257
9/29/2017,0.4051,0.4041
8/31/2017,0.4001,0.4095
7/31/2017,0.3974,0.3969
6/30/2017,0.3952,0.388
5/31/2017,0.3901,0.4009
4/28/2017,0.388,0.3894
3/31/2017,0.3855,0.3835
2/28/2017,0.3815,0.374
1/31/2017,0.3776,0.3699
12/30/2016,0.3764,0.3609
11/30/2016,0.3752,0.362
10/31/2016,0.3738,0.3766
9/30/2016,0.3697,0.3697
8/31/2016,0.3668,0.3606
7/29/2016,0.365,0.3537
6/30/2016,0.3612,0.3397
5/31/2016,0.3614,0.3498
4/29/2016,0.3621,0.3374
3/31/2016,0.3695,0.3579
2/29/2016,0.3674,0.3497
1/29/2016,0.3611,0.3536
12/31/2015,0.3602,0.353
11/30/2015,0.3579,0.3551
10/30/2015,0.3579,0.3532
9/30/2015,0.3564,0.3456
8/31/2015,0.3559,0.34
7/31/2015,0.3542,0.3384
6/30/2015,0.3571,0.3353
5/29/2015,0.3579,0.3433
4/30/2015,0.359,0.3399
3/31/2015,0.3589,0.3352
2/27/2015,0.3627,0.3409
1/30/2015,0.3597,0.3333
12/31/2014,0.35,0.3361
11/28/2014,0.3413,0.3406
10/31/2014,0.3388,0.3324
9/30/2014,0.3345,0.3346
8/29/2014,0.3332,0.3319
7/31/2014,0.3325,0.3322
6/30/2014,0.334,0.3226
5/30/2014,0.3332,0.3215
4/30/2014,0.3325,0.3172
3/31/2014,0.3299,0.3185
2/28/2014,0.3297,0.32
1/31/2014,0.328,0.3199
12/31/2013,0.328,0.3168
11/29/2013,0.3332,0.3114
10/31/2013,0.3335,0.3089
9/30/2013,0.3332,0.3088
8/30/2013,0.3325,0.3092
7/31/2013,0.3319,0.3021
6/28/2013,0.337,0.3046
5/31/2013,0.3357,0.3115
4/30/2013,0.3359,0.3051
3/29/2013,0.3426,0.308
2/28/2013,0.3423,0.3115
1/31/2013,0.3424,0.3138
12/31/2012,0.3495,0.3252
11/30/2012,0.3504,0.3279
10/31/2012,0.3491,0.3263
9/28/2012,0.3616,0.3433
8/31/2012,0.362,0.3475
7/31/2012,0.3636,0.3381
6/29/2012,0.361,0.3392
5/31/2012,0.3597,0.3425
4/30/2012,0.3579,0.3484
3/30/2012,0.3534,0.3526
2/29/2012,0.3483,0.3462
1/31/2012,0.3457,0.336
12/30/2011,0.3328,0.326
11/30/2011,0.3326,0.3317
10/31/2011,0.3333,0.3364
9/30/2011,0.3257,0.3343
8/31/2011,0.3229,0.3212
7/29/2011,0.325,0.323
6/30/2011,0.3204,0.3111
5/31/2011,0.3199,0.3137
4/29/2011,0.3218,0.3152
3/31/2011,0.3214,0.315
2/28/2011,0.3234,0.3233
1/31/2011,0.3239,0.3278
12/31/2010,0.3161,0.3217
11/30/2010,0.3184,0.3257
10/29/2010,0.3188,0.3309
9/30/2010,0.315,0.3223
8/31/2010,0.3155,0.3127
7/30/2010,0.3176,0.321
6/30/2010,0.3145,0.3201
5/31/2010,0.3139,0.3229
4/30/2010,0.3129,0.3232
3/31/2010,0.3094,0.3223
2/26/2010,0.3083,0.3196
1/29/2010,0.3047,0.316
12/31/2009,0.294,0.3324
11/30/2009,0.2939,0.3205
10/30/2009,0.2934,0.3227
9/30/2009,0.2862,0.3175
8/31/2009,0.2843,0.3148
7/31/2009,0.2804,0.3179
6/30/2009,0.274,0.3129
5/29/2009,0.2786,0.3008
4/30/2009,0.2776,0.3094
3/31/2009,0.2658,0.302
2/27/2009,0.2601,0.2925
1/30/2009,0.2558,0.272
12/31/2008,0.2485,0.2566
11/28/2008,0.2457,0.2544
10/31/2008,0.2484,0.2657
9/30/2008,0.24,0.2685
8/29/2008,0.2386,0.2798
7/31/2008,0.2352,0.2776
6/30/2008,0.2319,0.2784
5/30/2008,0.2303,0.2804
4/30/2008,0.2292,0.2688
3/31/2008,0.2228,0.2634
2/29/2008,0.2215,0.2594
1/31/2008,0.2199,0.2612
12/31/2007,0.2152,0.2803
11/30/2007,0.2115,0.2739
10/31/2007,0.2082,0.2849
9/28/2007,0.2023,0.2698
8/31/2007,0.2,0.2694
7/31/2007,0.1965,0.2655
6/29/2007,0.1955,0.2582
5/31/2007,0.1949,0.252
4/30/2007,0.193,0.2505
3/30/2007,0.1965,0.248
2/28/2007,0.1984,0.2491
1/31/2007,0.1959,0.2516
12/29/2006,0.1968,0.2512
11/30/2006,0.1979,0.2579
10/31/2006,0.1954,0.2541
9/29/2006,0.1932,0.2517
8/31/2006,0.1892,0.248
7/31/2006,0.188,0.234
6/30/2006,0.1924,0.2444
5/31/2006,0.1936,0.2486
4/28/2006,0.1939,0.2595
3/31/2006,0.2025,0.2657
2/28/2006,0.2033,0.2639
1/31/2006,0.2047,0.2667
12/30/2005,0.2051,0.265
11/30/2005,0.2047,0.2728
10/31/2005,0.204,0.2656
9/30/2005,0.2028,0.2668
8/31/2005,0.2048,0.2679
