Date,Time,Day,Hour,Subject,Text
2018-07-26 01:42:49,01:42:49,Thur,1,Your candidate reference number - UBS.,"PGh0bWw+PGhlYWQ+PE1FVEEgaHR0cC1lcXVpdj0iQ29udGVudC1UeXBlIiBjb250ZW50
PSJ0ZXh0L2h0bWw7IGNoYXJzZXQ9dXRmLTgiPjwvaGVhZD48Ym9keT48Zm9udCBzdHls
ZT0iZm9udC1zaXplOiAxM3B4Ij48Zm9udCBzdHlsZT0iZm9udC1mYW1pbHk6IGFyaWFs
LCBoZWx2ZXRpY2EsIHNhbnMtc2VyaWY7IHNpemU6IHVuZGVmaW5lZCI+RGVhciBBbmRy
ZSw8YnI+PGJyPldlIGFyZSBwbGVhc2VkIHRvIGNvbmZpcm0gd2UgaGF2ZSByZWNlaXZl
ZCB5b3VyIGFwcGxpY2F0aW9uLiBUaGFuayB5b3UuIFdlIGFpbSB0byBnZXQgYmFjayB0
byB5b3UgYXMgc29vbiBhcyBwb3NzaWJsZSB0byBsZXQgeW91IGtub3cgd2hldGhlciB5
b3UgYXJlIGEgZ29vZCBtYXRjaCBmb3Igb3VyIHJvbGUuPGJyPjxicj5Zb3VyIENWL3Jl
c3VtZSBoYXMgYmVlbiBzdWJtaXR0ZWQgZm9yIHRoZSBmb2xsb3dpbmcgcm9sZShzKTog
PGI+PGJyPg0KSW52ZXN0bWVudCBCYW5raW5nIEFuYWx5c3QgLSBNJkEgMTc3MzExQlI8
YnI+DQo8L2I+PGJyPllvdXIgY2FuZGlkYXRlIHJlZmVyZW5jZSBudW1iZXIgaXM6IDxi
cj48Yj4yNzEwMTI4PC9iPi48YnI+PGJyPkluIHRoZSBtZWFudGltZSwgaWYgeW91IHdv
dWxkIGxpa2UgdG8gZmluZCBvdXQgbW9yZSBhYm91dCB1cz8gPGEgaHJlZj0iaHR0cHM6
Ly93d3cudWJzLmNvbS9nbG9iYWwvZW4vYWJvdXRfdWJzL2NhcmVlcnMvd2h5LXVicy5o
dG1sIiB0YXJnZXQ9Il9ibGFuayI+Q2xpY2sgaGVyZTwvYT48YnI+PGJyPlRoYW5rcyBm
b3IgeW91ciBpbnRlcmVzdCBpbiB3b3JraW5nIHdpdGggdXMuPGJyPjxicj5VQlMgUmVj
cnVpdGluZyBUZWFtPC9mb250PjwvZm9udD48L2JvZHk+PC9odG1sPg==

"
2018-07-26 02:23:09,02:23:09,Thur,2,Thank you for your application,"RGVhciBBbmRyZSwNCg0KVGhhbmsgeW91IGZvciBleHByZXNzaW5nIGludGVyZXN0IGlu
IEtleUJhbmsuICBXZSBoYXZlIHN1Y2Nlc3NmdWxseSByZWNlaXZlZCB5b3VyIHN1Ym1p
c3Npb24gdG8gdGhlIEludmVzdG1lbnQgQmFua2luZyBBbmFseXN0LCBIZWFsdGhjYXJl
LCBOZXcgWW9yayBDaXR5IHBvc2l0aW9uLCByZXF1aXNpdGlvbiAjIDI4ODk4QlIuICBX
ZSBhcmUgY3VycmVudGx5IHJldmlld2luZyB5b3VyIGV4cGVyaWVuY2UgYW5kIHF1YWxp
ZmljYXRpb25zLiBJZiB5b3VyIHByb2ZpbGUgbWF0Y2hlcyB0aGUgc2tpbGxzIGFuZCBj
b21wZXRlbmNpZXMgd2UgYXJlIHNlZWtpbmcsIHdlIG1heSBiZSBpbiBjb250YWN0IHdp
dGggeW91IHJlZ2FyZGluZyB0aGlzIG9wcG9ydHVuaXR5LiBQbGVhc2Ugbm90ZSB0aGF0
IGR1ZSB0byB0aGUgaGlnaCB2b2x1bWUgb2YgcmVzdW1lcyByZWNlaXZlZCwgd2UgYXJl
IHVuYWJsZSB0byBwZXJzb25hbGx5IGNvbnRhY3QgZXZlcnkgYXBwbGljYW50Lg0KDQpZ
b3UgbWF5IGFjY2VzcyB5b3VyIGFjY291bnQgYXQgYW55IHRpbWUgaW4gb3JkZXIgdG8g
dmlldyB5b3VyIGpvYiBzdWJtaXNzaW9uIHN0YXR1cyBvciB0byB1cGRhdGUgYW55IG9m
IHlvdXIgcGVyc29uYWwgaW5mb3JtYXRpb24gc3VjaCBhcyBlbWFpbCBhZGRyZXNzIG9y
IHBob25lIG51bWJlci4gIFlvdSBtYXkgYWxzbyBzaWduIHVwIGZvciBlbWFpbCBhbGVy
dHMgYnkgam9pbmluZyBvdXIgVGFsZW50IE5ldHdvcmsgYXQgaHR0cDovL2NhcmVlcnMu
a2V5LmNvbS9qb2luLg0KDQpGb3IgeW91ciBjb252ZW5pZW5jZSwgaGVyZSBpcyBjb25m
aXJtYXRpb24gb2YgdGhlIHVzZXJuYW1lIHlvdSBjcmVhdGVkIGluIHRoZSBzeXN0ZW06
IGFuZHJldHNlYWx5QGdtYWlsLmNvbS4gIFBsZWFzZSBlbnN1cmUgeW91IHJldGFpbiBh
IGNvcHkgb2YgeW91ciB1c2VybmFtZSBhbmQgcGFzc3dvcmQgZm9yIGZ1dHVyZSB1c2Uu
DQoNClRoYW5rIHlvdSBmb3IgeW91ciBpbnRlcmVzdCBpbiBLZXkuDQoNCktpbmQgcmVn
YXJkcywNCg0KS2V5QmFuayBUYWxlbnQgQWNxdWlzaXRpb24NCg0KIA0K"
2018-07-26 02:47:59,02:47:59,Thur,2,Thank you for your interest in Mizuho Bank.,"[<email.message.Message object at 0x1a0be707f0>, <email.message.Message object at 0x1a0be850b8>]"
2018-07-30 07:06:07,07:06:07,Mon,7,Your online application has been successfully submitted,"<p>Dear Andre,</p>

<p>Thank you for your interest in employment with Wells Fargo.</p>

<p>We have received your application for the following Job Opening:</p>

<p>5422648-Wells Fargo Securities Investment Banking Analyst</p>

<p>You may view your application by clicking on the address provided here, or by copying and pasting it into your web browser. After you sign on, click My Job Applications and then select your application for this job opening by clicking the right arrow button.</p>

<p>https://employment.wellsfargo.com/psp/PSEA/APPLICANT_NW/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?FOCUS=Applicant&FolderPath=PORTAL_ROOT_OBJECT.HRS_CAREERS_FL</p>

<p>We appreciate the time you've taken to share your background and experience with us.  We will review your application and contact you if there is a match between your background and our needs.  We wish you success in your job search.</p>

<p>Sincerely,</p>

<p>Wells Fargo Recruiting</p>

<p>This email is being sent from a mailbox that is not monitored. Please do not reply directly to this message.</p>
<p>Note: This is not an offer of employment.</p>
<p>Relevant military experience is considered for veterans and transitioning service men and women.<br>Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.</p>

<p>IMPORTANT DISCLAIMER: When receiving emails, you should be aware that your email service provider may add hyperlinks to the content of the email. Please note that any hyperlinks sponsored by Wells Fargo in connection with its employment application process will include a <a href=""http://www.wellsfargo.com/"">wellsfargo.com</a> address in the link. Any hyperlinks that do not specifically include a <a href=""http://www.wellsfargo.com/"">wellsfargo.com</a> address are not sponsored by Wells Fargo, and Wells Fargo makes no representation regarding the validity or security of such hyperlinks. Also, please note that Wells Fargo does not require candidates to pay fees in connection with its employment application process.</p>
"
2018-07-31 05:13:15,05:13:15,Tues,5,Thank you from Guggenheim Talent Acquisition,"[<email.message.Message object at 0x1a0be6ec18>, <email.message.Message object at 0x1a0be6e240>]"
2018-08-02 09:33:46,09:33:46,Thur,9,"Analyst, Investment Banking, Financial Strategies &
 Solutions-18042292 at Citi","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/htm=
l4/strict.dtd"">
<html>
<head>
<meta http-equiv=3D""Content-Type"" content=3D""text/html; charset=3Dutf-8""/><=
title></title>
</head>
<body style=3D'font-family: Arial, Times New Roman, Verdana, Sans-Serif; pa=
dding: 5px 5px 5px 5px; margin: 0px; border-style: none; background-color: =
#ffffff'>
<div><div>
<div><img src=3D ""https://citi.taleo.net/custom/images/company_logo_03.gif""=
> </img></div>
<div>&nbsp;</div>
<div>Dear Andre:<br />
<br />
Reference:&nbsp; Analyst, Investment Banking, Financial Strategies & Soluti=
ons-18042292<br />
<br />
Thank you for your interest in career opportunities at Citi.&nbsp; We appre=
ciate the opportunity to review your experience and qualifications against =
the open position for which you submitted your credentials.</div>
<div>&nbsp;<br />
If you are selected for further consideration, we will be in contact with y=
ou shortly.</div>
<div>&nbsp;</div>
<div>If you would like to review your candidate file,&nbsp; <a href=3D""http=
s://citi.taleo.net/careersection/2/jobapply.ftl?job=3D18042292&lang=3Den"" r=
el=3D""external"">click here</a>.</div>
<div>&nbsp;</div>
<div>User name: Hedgology</div>
<div>&nbsp;</div>
<div>
<p style=3D""MARGIN-BOTTOM: 0px; MARGIN-TOP: 0px"">Citi=E2=80=99s hiring poli=
cy is based on fair principle guidelines and each candidate must be reviewe=
d if they are a referral of a senior government official (SGO), of a senior=
 commercial person (SCP) or is related to any Citi employee.&nbsp; As such,=
 please update your Anti-Bribery &amp; Corruption declaration on your profi=
le upon application.</p>
</div>
<div>&nbsp;</div>
<div>We thank you for your interest in Citi.<br />
<br />
</div>
<div>Best Regards,<br />
Careers at Citi</div>
<div>&nbsp;</div>
<div><br />
This is an automated system generated message. Replies to this message are =
undeliverable.&nbsp; Please do not reply.<br />
</div>
</div></div></body>
</html>
"
2018-08-05 03:30:54,03:30:54,Sun,3,Thank you for your interest!,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""/><title></title>
</head>
<body style='font-family: Arial, Times New Roman, Verdana, Sans-Serif; padding: 5px 5px 5px 5px; margin: 0px; border-style: none; background-color: #ffffff'>
<div><p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:arial""><img src= ""https://lazard.taleo.net/smartorg/CorrespondenceLogo.jss?logo=company_logo_01&instant=1533454253925""> </img><br />
</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:arial"">&nbsp;</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:arial"">Dear Andre,</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p></div><div><div><span style=""font-family:arial"">Thank you for your interest in&nbsp;Lazard. We have received your application for the position of 2018 Investment Banking Analyst- Healthcare (San Francisco)-170821 and are currently reviewing your experience and qualifications.<br />
<br />
If you would like to review your candidate file, <a href=""https://lazard.taleo.net/careersection/4/jobapply.ftl?job=170821&lang=en"">click here</a>.<br />
<br />
If your profile is a strong match with our requirements, a member of our team will contact you directly.<br />
<br />
We thank you for your interest in Lazard.<br />
<br />
<br />
<br />
</span></div></div><div><p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial"">Best regards,</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial"">Human Resources</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial"">Lazard</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p></div><div>Replies to this message are undeliverable and will not reach the Human Resources Department. Please do not reply.</div><div><div><span style=""font-family:arial"">________________________________________________________<br />
Set your account preferences anytime by accessing the <a href=""https://lazard.referrals.selectminds.com/profile"" rel=""external"">My Account</a> page.<br />
</span></div></div></body>
</html>
"
2018-08-05 22:55:51,22:55:51,Sun,22,b'We\xe2\x80\x99ve received your RBC Application',"<p><span style=""font-size:12px;""><span style=""font-family:Arial,Helvetica,sans-serif;""><img src=https://performancemanager8.successfactors.com/companyLogoServlet/?companyId=RBC alt='Company Logo' style='background-color:#fff;' /> &nbsp;&nbsp;</span></span><br />
&nbsp;</p>

<p><span style=""font-size:12px;""><span style=""font-family:Arial,Helvetica,sans-serif;"">Dear&nbsp;<span style=""color: rgb(0, 0, 0); line-height: normal;"">Andre</span>,</span></span></p>

<p><span style=""font-size:12px;""><span style=""font-family:Arial,Helvetica,sans-serif;"">Thank you for your interest in a career at RBC, a global leader in financial services driven by its top-performing, collaborative and innovative people. We have received your application for the<strong> Investment Banking Analyst - Technology&nbsp;</strong>role<strong>&nbsp;</strong>(Req ID #&nbsp;170492). &nbsp;<br />
&nbsp;<br />
We know that your time is valuable, so we invite you to check on the status of your application at any time in two easy steps:</span></span></p>

<p><span style=""font-size:12px;""><span style=""font-family:Arial,Helvetica,sans-serif;"">1.&nbsp;&nbsp; &nbsp;Sign in to your account at <a href=""https://jobs.rbc.com/ca/en"">jobs.rbc.com</a>.<br />
2.&nbsp;&nbsp; &nbsp;Click <em>Check Application Status</em> button located in the <em>Personal Information</em> section on the left-hand side of the <em>Profile</em> page.<br />
&nbsp;<br />
Our recruitment team will be in touch if you are identified as a top candidate for the position.&nbsp;</span></span></p>

<p><span style=""font-size:12px;""><span style=""font-family:Arial,Helvetica,sans-serif;"">Thanks again for considering RBC as you explore your career opportunities.&nbsp;</span></span></p>

<p><span style=""font-size:12px;""><span style=""font-family:Arial,Helvetica,sans-serif;"">Sincerely,</span></span></p>

<p><span style=""font-size:12px;""><span style=""font-family:Arial,Helvetica,sans-serif;"">RBC Recruitment Team</span></span></p>

<p><span style=""font-size:12px;""><span style=""font-family:Arial,Helvetica,sans-serif;"">Stay connected with us!&nbsp;<a href=""https://www.facebook.com/RBC""><img alt="""" src="" https://performancemanager8.successfactors.com/doc/custom/RBC/Facebooklogo.png"" style=""width:25.0px;height:25.0px"" /></a>&nbsp;<a href=""https://www.linkedin.com/companies/RBC""><img alt="""" src=""https://performancemanager8.successfactors.com/doc/custom/RBC/Linkedlnlogo.png"" style=""width:25.0px;height:25.0px"" /></a>&nbsp;<a href=""https://www.twitter.com/rbccareers""><img alt="""" src=""https://performancemanager8.successfactors.com/doc/custom/RBC/Twitterlogo.png"" style=""width:25.0px;height:25.0px"" /></a></span></span></p>
"
2018-08-13 15:24:57,15:24:57,Mon,15,Thank you from Guggenheim Talent Acquisition,"[<email.message.Message object at 0x1a0be4fb00>, <email.message.Message object at 0x1a0be4fd30>]"
2018-08-15 16:15:02,16:15:02,Weds,16,HSBC 2018 Application Status Update,"Dear Andre,

Thank you for your application to HSBC for Graduate - Global Banking & Markets - Global Banking - Investment Banking - North America - USA - New York.

We are pleased to confirm safe receipt of your application, which is now under careful consideration. We will be in touch with you shortly regarding the outcome.

To access your application, please click on the link below:

https://earlycareers.hsbc.gtios.com

Thank you for your interest in HSBC.

Kind regards
HSBC Graduate Recruitment Team"
