Company Name,Industries,Email Convention
Bank of America Merrill Lynch,"Asset Management, Bank of America Merrill Lynch, Equity Research, Investment Banking, Private Equity, Proprietary Trading, Sales and Trading",john.smith@bankofamerica.com
Barclays Capital,"Barclays Capital, Equity Research, Investment Banking, Private Equity",first.last@barcap.com
Citigroup,"Citigroup, Corporate Finance, Investment Banking, Sales and Trading",first.last@citi.com
Credit Suisse,"Asset Management, credit suisse, Equity Research, Investment Banking, Sales and Trading",first.last@credit-suisse.com
Deutsche Bank,"Asset Management, Corporate Finance, Deutsche Bank, Investment Banking, Sales and Trading",first.last@db.com
Goldman Sachs,"Asset Management, Equity Research, Goldman Sachs, Investment Banking, Sales and Trading",john.smith@gs.com
HSBC,"Asset Management, HSBC, Investment Banking",john.smith@hsbcib.com
JPMorgan Chase,"Asset Management, Investment Banking, jpmorgan chase, Private Equity",John.Smith@jpmorgan.com
Morgan Stanley,"Asset Management, Equity Research, Investment Banking, Morgan Stanley, Sales and Trading",john.smith@morganstanley.com
UBS AG,"Asset Management, Equity Research, Investment Banking, Sales and Trading, ubs ag",john.smith@ubs.com
BB&T,"BB&T, Corporate Finance, Investment Banking",jsmith@bbandt.com
BMO Capital Markets,"BMO Capital Markets, Equity Research, Investment Banking, Sales and Trading",john.smith@bmo.com
BNP Paribas,"bnp paribas, Corporate Finance, Equity Research, Investment Banking, Sales and Trading",john.smith@bnpparibas.com
Gleacher,"Equity Research, gleacher, Investment Banking, Sales and Trading",john.smith@gleacher.com
Brown Brothers Harriman,"Brown Brothers Harriman, Corporate Finance, Investment Banking, Private Equity",john.smith@bbh.com
Cantor Fitzgerald,"Cantor Fitzgerald, Investment Banking, Sales and Trading",jsmith@cantor.com
Centerview Partners,"centerview partners, Investment Banking",jsmith@centerviewpartners.com.
CIBC World Markets,"CIBC World Markets, Investment Banking, Sales and Trading","john.smith.us@cibc.com, for Canada: John.Smith@cibc.com"
Cowen Group,"Asset Management, Cowen Group, Investment Banking, Sales and Trading",firstname@cowengroup.com
Duff & Phelps,"Duff & Phelps, Investment Banking",john.smith@duffandphelps.com
Edgeview Partners,"Edgeview Partners, Investment Banking",lastname@edgeview.com
Evercore,"Asset Management, Evercore, Investment Banking, Private Equity",Doe@evercore.com
Friedman Billings Ramsey,"Asset Management, Equity Research, Friedman Billings Ramsey, Investment Banking, Sales and Trading",flastname@fbr.com
Greenhill,"greenhill, Investment Banking",JDoe@greenhill.com
Harris Williams & Co.,"Harris Williams & Co., Investment Banking",JDoe@HarrisWilliams.com
Houlihan Lokey,"Corporate Finance, Houlihan Lokey, Investment Banking",JDoe@hl.com
Blackstone Group,"Asset Management, Blackstone Group, Hedge Funds, Investment Banking, Private Equity",john.smith@blackstone.com
Jefferies & Company,"Asset Management, Equity Research, Investment Banking, Jefferies & Company, Sales and Trading",JDoe@jefferies.com
Keefe Bruyette & Woods Inc.,"Asset Management, Corporate Finance, Equity Research, Investment Banking, Keefe Bruyette & Woods Inc., Sales and Trading",Jsmith@kbw.com
Lazard,"Asset Management, Investment Banking, lazard",John.Doe@lazard.com
Moelis & Company,"Asset Management, Investment Banking, Moelis & Company",John.Doe@moelis.com
Mariner Private Equity,"Investment Banking, Mariner Private Equity, Private Equity",john.smith@marinerprivateequity.com
Montgomery & Co.,"Investment Banking, Montgomery & Co., Private Equity",jsmith@monty.com
Nomura Holdings,"Asset Management, Investment Banking, Nomura Holdings",john.smith@nomura.com
Oppenheimer,"Asset Management, Equity Research, Investment Banking, Oppenheimer, Sales and Trading",john.smith@opco.com
Perella Weinberg Partners,"Asset Management, Investment Banking, Perella Weinberg Partners",jdoe@pwpartners.com
Peter J Soloman,"Investment Banking, Peter J Soloman",jsmith@pjsolomon.com
Piper Jaffray,"Asset Management, Investment Banking, Piper Jaffray",john.smith@pjc.com
Raymond James Financial Inc.,"Asset Management, Investment Banking, Raymond James Financial Inc.",john.smith@raymondjames.com
