Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
3/31/2019,61801,Pelham Bay,NY,New York-Newark-Jersey City,Bronx County,New York,1058,522600,0.003071017,0.01456028,0.145048203,0.06529941,0.02683935,2019-03,2019-Q1,522600,0,2019-03
3/31/2019,61802,Morris Park,NY,New York-Newark-Jersey City,Bronx County,New York,45,159300,0.006953224,0.02049968,0.143575018,0.117761121,0.035856929,2019-03,2019-Q1,159300,0,2019-03
3/31/2019,61804,Bronxdale,NY,New York-Newark-Jersey City,Bronx County,New York,11448,548300,-0.000728996,0.013868343,0.03844697,0.061049162,0.01390063,2007-01,2007-Q1,633300,-0.13421759,2005-07
3/31/2019,61805,Eastchester,NY,New York-Newark-Jersey City,Bronx County,New York,2882,516300,0.001551891,0.000581395,0.079448045,0.058964167,0.026184827,2019-03,2019-Q1,516300,0,2019-03
3/31/2019,61806,Wakefield,NY,New York-Newark-Jersey City,Bronx County,New York,643,444800,0.002931229,0.019248396,0.057788347,0.059732594,0.02594192,2019-03,2019-Q1,444800,0,2019-03
3/31/2019,61807,Kingsbridge,NY,New York-Newark-Jersey City,Bronx County,New York,9,431500,0.007001167,0.020094563,0.07982983,0.065639304,0.030733162,2019-03,2019-Q1,431500,0,2019-03
3/31/2019,61809,Pelham Gardens,NY,New York-Newark-Jersey City,Bronx County,New York,985,484000,0.00707449,0.031323247,0.149643705,0.067527576,0.030556906,2019-03,2019-Q1,484000,0,2019-03
3/31/2019,61810,Wakefield,NY,New York-Newark-Jersey City,Bronx County,New York,7293,472700,0.004675877,0.01546724,0.014160051,0.056393395,0.022365298,2007-06,2007-Q2,496100,-0.04716791,2007-02
3/31/2019,61811,Fieldston,NY,New York-Newark-Jersey City,Bronx County,New York,4809,958800,-0.001562012,0.028644995,0.040477482,0.047404272,0.020787896,2019-02,2019-Q1,960300,-0.001562012,2019-02
3/31/2019,61813,Soundview,NY,New York-Newark-Jersey City,Bronx County,New York,726,432300,-0.004375864,-0.007347876,0.103087522,0.05943632,0.027588772,2019-01,2019-Q1,435700,-0.007803535,2018-11
3/31/2019,61801,Mount Eden,NY,New York-Newark-Jersey City,Bronx County,New York,1058,522600,0.003071017,0.01456028,0.145048203,0.06529941,0.02683935,2019-03,2019-Q1,522600,0,2019-03
3/31/2019,61802,Port Morris,NY,New York-Newark-Jersey City,Bronx County,New York,45,159300,0.006953224,0.02049968,0.143575018,0.117761121,0.035856929,2019-03,2019-Q1,159300,0,2019-03
3/31/2019,61809,Allerton,NY,New York-Newark-Jersey City,Bronx County,New York,985,484000,0.00707449,0.031323247,0.149643705,0.067527576,0.030556906,2019-03,2019-Q1,484000,0,2019-03
3/31/2019,61801,Belmont,NY,New York-Newark-Jersey City,Bronx County,New York,1058,522600,0.003071017,0.01456028,0.145048203,0.06529941,0.02683935,2019-03,2019-Q1,522600,0,2019-03
3/31/2019,61810,St. Albans,NY,New York-Newark-Jersey City,Bronx County,New York,7293,472700,0.004675877,0.01546724,0.014160051,0.056393395,0.022365298,2007-06,2007-Q2,496100,-0.04716791,2007-02
3/31/2019,61807,East Morrisania,NY,New York-Newark-Jersey City,Bronx County,New York,9,431500,0.007001167,0.020094563,0.07982983,0.065639304,0.030733162,2019-03,2019-Q1,431500,0,2019-03
3/31/2019,61801,University Heights,NY,New York-Newark-Jersey City,Bronx County,New York,1058,522600,0.003071017,0.01456028,0.145048203,0.06529941,0.02683935,2019-03,2019-Q1,522600,0,2019-03
3/31/2019,61802,Van Nest,NY,New York-Newark-Jersey City,Bronx County,New York,45,159300,0.006953224,0.02049968,0.143575018,0.117761121,0.035856929,2019-03,2019-Q1,159300,0,2019-03
3/31/2019,61806,Morris Heights,NY,New York-Newark-Jersey City,Bronx County,New York,643,444800,0.002931229,0.019248396,0.057788347,0.059732594,0.02594192,2019-03,2019-Q1,444800,0,2019-03
3/31/2019,61813,Claremont Village,NY,New York-Newark-Jersey City,Bronx County,New York,726,432300,-0.004375864,-0.007347876,0.103087522,0.05943632,0.027588772,2019-01,2019-Q1,435700,-0.007803535,2018-11
3/31/2019,62014,East Flatbush,NY,New York-Newark-Jersey City,Kings County,New York,463,524700,-0.000952018,-0.007190161,0.076307692,0.078255576,0.031683953,2018-11,2018-Q4,533600,-0.01667916,2018-10
3/31/2019,62015,Bensonhurst,NY,New York-Newark-Jersey City,Kings County,New York,386,926100,0.009043365,0.015015344,0.044198895,0.074096714,0.056227359,2019-03,2019-Q1,926100,0,2019-03
3/31/2019,62016,Navy Hill,NY,New York-Newark-Jersey City,Kings County,New York,1446,804400,-0.001489573,-0.038718929,-0.005194163,0.082887889,0.054535227,2018-10,2018-Q4,851700,-0.055535987,2018-03
3/31/2019,62017,Williamsburg,NY,New York-Newark-Jersey City,Kings County,New York,43,746000,0.00606878,0.009745533,0.102734664,0.100908119,0.062151784,2019-03,2019-Q1,746000,0,2019-03
3/31/2019,62019,City Line,NY,New York-Newark-Jersey City,Kings County,New York,341,478600,0.00293378,0.001884028,0.077685206,0.081015539,0.036938134,2019-03,2019-Q1,478600,0,2019-03
3/31/2019,62020,Bay Ridge,NY,New York-Newark-Jersey City,Kings County,New York,59,1022800,0.014883906,0.024336505,0.05443299,0.057110098,0.048179793,2019-03,2019-Q1,1022800,0,2019-03
3/31/2019,62021,Marine Park,NY,New York-Newark-Jersey City,Kings County,New York,752,814000,0.00481422,0.003451677,0.005558987,0.077174026,0.050363221,2018-06,2018-Q2,822900,-0.010815409,2018-05
3/31/2019,62022,Williamsburg,NY,New York-Newark-Jersey City,Kings County,New York,108,971000,0.004448122,0.008307373,0.00569653,0.048134105,0.054694834,2017-11,2017-Q4,980300,-0.009486892,2017-10
