,id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
0,1742654,Hell's Kitchen,Entire home/apt,2,1.0,1.0,200.0,2,204,114,99.0,10.0,10.0
1,23502842,East Village,Entire home/apt,2,1.0,0.0,159.0,2,10,8,94.0,10.0,9.0
2,15984984,Clinton Hill,Entire home/apt,2,1.0,1.0,180.0,4,10,36,97.0,10.0,10.0
3,13820083,Clinton Hill,Entire home/apt,2,1.0,1.0,99.0,30,51,9,85.0,9.0,9.0
4,6170979,Clinton Hill,Entire home/apt,4,1.0,1.0,100.0,3,257,122,90.0,9.0,9.0
5,27283214,Hell's Kitchen,Private room,2,1.0,1.0,75.0,5,19,3,90.0,10.0,10.0
6,30712669,East Village,Entire home/apt,3,1.0,0.0,200.0,2,358,9,96.0,10.0,9.0
7,33014,East Village,Entire home/apt,3,1.0,2.0,195.0,3,208,28,87.0,8.0,9.0
8,29705049,Bedford-Stuyvesant,Entire home/apt,3,1.0,0.0,79.0,5,93,1,100.0,10.0,10.0
9,867749,Crown Heights,Entire home/apt,4,1.0,2.0,200.0,30,247,1,100.0,10.0,10.0
10,15188621,Prospect Heights,Entire home/apt,2,1.0,1.0,125.0,30,54,10,100.0,10.0,10.0
11,150804,Lower East Side,Entire home/apt,4,1.0,3.0,250.0,4,19,16,100.0,10.0,10.0
12,30566910,East Village,Entire home/apt,2,1.0,1.0,110.0,2,276,0,,,
13,16651879,Hell's Kitchen,Private room,1,1.0,0.0,100.0,1,178,0,,,
14,2593478,Clinton Hill,Private room,1,1.0,1.0,60.0,70,365,11,98.0,10.0,10.0
15,3831,Clinton Hill,Entire home/apt,3,1.0,1.0,89.0,1,162,252,91.0,10.0,9.0
16,32783365,East Village,Entire home/apt,4,2.0,1.0,158.0,1,50,5,92.0,10.0,10.0
17,1182844,Hell's Kitchen,Entire home/apt,2,1.0,1.0,199.0,7,119,30,91.0,9.0,9.0
18,1151782,Hell's Kitchen,Entire home/apt,4,1.0,2.0,275.0,30,365,8,97.0,9.0,9.0
19,19219624,East Village,Private room,2,1.0,1.0,120.0,30,35,3,100.0,10.0,10.0
20,3552043,Clinton Hill,Entire home/apt,6,1.0,0.0,500.0,3,364,18,98.0,10.0,10.0
21,19830008,East Village,Private room,2,1.5,1.0,125.0,1,344,63,97.0,10.0,10.0
22,24223602,Prospect Heights,Entire home/apt,4,2.0,2.0,300.0,7,132,12,100.0,10.0,9.0
23,32281512,Prospect Heights,Entire home/apt,4,1.0,2.0,175.0,1,6,1,80.0,10.0,8.0
24,26518779,East Village,Entire home/apt,2,1.0,1.0,250.0,3,28,1,100.0,10.0,8.0
25,30372287,Prospect Heights,Entire home/apt,2,1.0,0.0,140.0,5,24,2,100.0,10.0,10.0
26,34331285,Upper West Side,Entire home/apt,2,1.0,1.0,99.0,1,15,0,,,
27,30096719,Clinton Hill,Entire home/apt,2,1.0,0.0,98.0,1,215,23,95.0,10.0,10.0
28,33964494,Hell's Kitchen,Entire home/apt,4,1.0,1.0,200.0,5,136,0,,,
29,33777679,Hell's Kitchen,Private room,3,1.0,1.0,249.0,3,11,0,,,
30,23955348,East Village,Entire home/apt,6,2.0,3.0,600.0,5,6,66,89.0,9.0,9.0
31,21618966,Bedford-Stuyvesant,Private room,1,1.0,1.0,70.0,3,123,12,90.0,9.0,9.0
32,32405349,Chelsea,Shared room,5,1.0,1.0,65.0,3,88,0,,,
33,28010779,Midtown,Entire home/apt,4,1.0,1.0,250.0,7,155,5,95.0,10.0,10.0
34,30950765,Midtown,Entire home/apt,2,1.0,0.0,390.0,31,179,0,,,
35,7202368,Bedford-Stuyvesant,Entire home/apt,2,1.0,1.0,98.0,3,189,85,95.0,10.0,10.0
36,26123841,East Village,Private room,2,1.0,1.0,90.0,3,11,25,90.0,9.0,9.0
37,4784741,East Village,Private room,2,1.5,1.0,125.0,1,9,37,97.0,10.0,10.0
38,31460579,Lower East Side,Entire home/apt,6,2.0,2.0,500.0,1,315,5,100.0,10.0,9.0
39,31360128,East Village,Entire home/apt,2,1.0,0.0,105.0,4,66,3,80.0,7.0,8.0
40,29828950,East Village,Private room,3,1.0,1.0,150.0,2,4,2,100.0,10.0,9.0
41,16513698,Lower East Side,Entire home/apt,6,1.0,3.0,349.0,3,100,68,98.0,10.0,9.0
42,27368472,Chelsea,Entire home/apt,2,1.0,0.0,180.0,29,304,0,,,
43,34017486,East Village,Private room,1,1.0,1.0,90.0,3,26,0,,,
44,34284261,Midtown,Entire home/apt,1,1.0,1.0,85.0,1,31,0,,,
45,27140232,Chelsea,Entire home/apt,5,1.0,2.0,155.0,2,113,0,,,
46,17905479,Chelsea,Entire home/apt,3,1.0,1.0,200.0,4,103,39,97.0,10.0,9.0
47,23766600,Hell's Kitchen,Entire home/apt,4,1.0,1.0,199.0,30,59,1,100.0,10.0,8.0
