"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
102001,2019-03-31,"United States",,0,226700,0.00176756517896597,0.00979955456570156,0.0663217309501411,0.0646964410095898,0.0282374645958972,"2019-03","2019-Q1",226700,0,"2019-03"
394913,2019-03-31,"New York, NY","NY",1,442000,0.00386100386100386,0.01074777040933,0.0449172576832151,0.0457578777671666,0.0139287456916017,"2006-07","2006-Q3",452800,-0.0238515901060071,"2006-02"
753899,2019-03-31,"Los Angeles-Long Beach-Anaheim, CA","CA",2,652200,-0.00320953690967446,-0.00275229357798165,0.0203379224030038,0.0602445408671779,0.0421975919444861,"2019-01","2019-Q1",654700,-0.00381854284405071,"2018-11"
394463,2019-03-31,"Chicago, IL","IL",3,226200,0.00221533008418254,0.00937081659973226,0.0333485609867519,0.0513483777720554,0.00527825450976716,"2007-02","2007-Q1",254100,-0.109799291617473,"2005-01"
394514,2019-03-31,"Dallas-Fort Worth, TX","TX",4,245100,0.00245398773006135,0.0182800166181969,0.0893333333333333,0.105261138683691,0.0541137491488406,"2019-03","2019-Q1",245100,0,"2019-03"
394974,2019-03-31,"Philadelphia, PA","PA",5,234200,0.00256849315068493,0.00948275862068966,0.0358248562582928,0.0393478533146612,0.00719379072123627,"2007-05","2007-Q2",237300,-0.0130636325326591,"2006-05"
394692,2019-03-31,"Houston, TX","TX",6,206600,0.000968992248062016,0.00977517106549365,0.0567774936061381,0.0733774396150704,0.0385738603582326,"2019-03","2019-Q1",206600,0,"2019-03"
395209,2019-03-31,"Washington, DC","DC",7,408300,0.00122609122118686,0.00814814814814815,0.0271698113207547,0.0293014082250054,0.0201365918160668,"2006-04","2006-Q2",435400,-0.0622416169039963,"2005-06"
394856,2019-03-31,"Miami-Fort Lauderdale, FL","FL",8,284900,-0.000701508242721852,0.00742574257425743,0.0610800744878957,0.10555580670708,0.0453738349603483,"2006-09","2006-Q3",311600,-0.0856867779204108,"2005-12"
394347,2019-03-31,"Atlanta, GA","GA",9,220000,0.00364963503649635,0.014760147601476,0.106639839034205,0.091047242850645,0.0321644949343585,"2019-03","2019-Q1",220000,0,"2019-03"
394404,2019-03-31,"Boston, MA","MA",10,468100,0.00106928999144568,0.0101424255502805,0.0465012295998211,0.0613332608112942,0.0376393563088431,"2019-03","2019-Q1",468100,0,"2019-03"
395057,2019-03-31,"San Francisco, CA","CA",11,949500,-0.00555090071219103,-0.0116581659206828,0.0200902449505801,0.0750918321453244,0.057727055684794,"2018-10","2018-Q4",963500,-0.0145303580695381,"2018-08"
394532,2019-03-31,"Detroit, MI","MI",12,162200,0.0043343653250774,0.0162907268170426,0.0777408637873754,0.0978575158982098,0.0451452573100732,"2019-03","2019-Q1",162200,0,"2019-03"
395025,2019-03-31,"Riverside, CA","CA",13,369200,0.00162778079218665,0.0112298000547795,0.0494599204093235,0.0717437612422012,0.0516149468530571,"2006-07","2006-Q3",409800,-0.0990727183992191,"2005-07"
394976,2019-03-31,"Phoenix, AZ","AZ",14,266500,0.000751032669921142,0.0106181266590823,0.0655737704918033,0.0728504513804189,0.0424802460054694,"2006-05","2006-Q2",284000,-0.0616197183098592,"2005-11"
395078,2019-03-31,"Seattle, WA","WA",15,491800,-0.00223168999797119,0.00265035677879715,0.0258656654151022,0.0982570044430653,0.0428091925172065,"2019-02","2019-Q1",492900,-0.00223168999797119,"2019-01"
394865,2019-03-31,"Minneapolis-St Paul, MN","MN",16,270300,0.00222469410456062,0.0116017964071856,0.0562719812426729,0.063159915239364,0.0297078289950221,"2019-03","2019-Q1",270300,0,"2019-03"
395056,2019-03-31,"San Diego, CA","CA",17,590100,-0.00236686390532544,-0.00606366851945427,0.0125257378174331,0.0584000709187751,0.0447203729271075,"2018-12","2018-Q4",593700,-0.00606366851945427,"2018-09"
