,Count of Listings
Williamsburg,3959
Bedford-Stuyvesant,3671
Harlem,2686
Bushwich,2404
Upper West Side,2061
Hell's Kitchen,2025
East Village,1898
Upper East Side,1820
Midtown,1576
Crown Heights,1550
Chelsea,1143
Greenpoint,1122
East Harlem,1093
Astoria,897
Lower East Side,892
Washington Heights,874
West Village,778
Financial District,750
Flatbush,620
Clinton Hill,565
Murray Hill,530
Prospect-Lefferts Gardens,521
Longwood,517
Long Island City,517
East Flatbush,487
Kips Bay,477
Fort Greene,472
Middle Village,444
Flushing,432
Sunset Park,383
SoHo,382
Gramercy,369
Chinatown,363
Prospect Heights,350
Sunnyside,332
Ditmars Steinway,304
Nolita,298
South Slope,285
Theater District,266
Gowanus,259
Inwood,248
Elmhurst,239
Carroll Gardens,232
Jamaica,217
Woodside,210
Kensington,179
Jackson Heights,176
East Elmhurst,175
Boerum Hill,174
Tribeca,170
Windsor Terrace,158
Sheepshead Bay,156
Canarsie,143
Borough Park,142
Bay Ridge,141
Forest Hills,140
Cypress Hills,139
Flatiron District,102
Cobble Hill,98
Rego Park,97
Maspeth,95
Richmond Hill,87
Roosevelt Island,85
Woodhaven,85
Bensonhurst,81
Springfield Gardens,80
Downtown Brooklyn,78
St. Albans,76
Red Hook,75
NoHo,73
Two Bridges,72
Gravesend,70
Battery Park City,68
Brighton Beach,67
Corona,62
Ozone Park,60
Kingsbridge,56
Queens Village,56
Rosedale,52
Glendale,52
Port Morris,48
Civic Center,47
St. George,46
Kew Gardnes,43
South Ozone Park,43
Columbia St,42
Wakefield,41
Bayside,40
Allerton,40
DUMBO,37
Fresh Meadows,29
Pelham Gardens,24
Belmont,24
Bronxdale,22
Cambria Heights,21
Morris Heights,21
University Heights,20
College Point,19
Claremont Village,19
Randall Manor,17
Dyker Heights,17
City Island,17
Howard Beach,17
Clifton,17
Bath Beach,17
West Brighton,17
Whitestone,16
Coney Island,16
Morris Park,16
Pelham Bay,15
Soundview,15
Hollis,14
Fieldston,13
Eastchester,13
Bergen Beach,13
Edgemere,11
East Morrisania,10
Riverdale,10
Van Nest,10
Great Kills,9
Marine Harbor,8
Bellerose,8
Mount Eden,6
Gyrmes Hill,6
Emerson Hill,5
Tottenville,5
Rosebank,4
Little Neck,4
Bull's Head,3
Glen Oaks,3
Silver Lake,2
Rossville,1
Charleston,1
