id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
1742654,Hell's Kitchen,Entire home/apt,2,1,1,200,2,204,114,99,10,10
23502842,East Village,Entire home/apt,2,1,0,159,2,10,8,94,10,9
15984984,Clinton Hill,Entire home/apt,2,1,1,180,4,10,36,97,10,10
13820083,Clinton Hill,Entire home/apt,2,1,1,99,30,51,9,85,9,9
6170979,Clinton Hill,Entire home/apt,4,1,1,100,3,257,122,90,9,9
27283214,Hell's Kitchen,Private room,2,1,1,75,5,19,3,90,10,10
30712669,East Village,Entire home/apt,3,1,0,200,2,358,9,96,10,9
33014,East Village,Entire home/apt,3,1,2,195,3,208,28,87,8,9
29705049,Bedford-Stuyvesant,Entire home/apt,3,1,0,79,5,93,1,100,10,10
867749,Crown Heights,Entire home/apt,4,1,2,200,30,247,1,100,10,10
15188621,Prospect Heights,Entire home/apt,2,1,1,125,30,54,10,100,10,10
150804,Lower East Side,Entire home/apt,4,1,3,250,4,19,16,100,10,10
30566910,East Village,Entire home/apt,2,1,1,110,2,276,0,,,
16651879,Hell's Kitchen,Private room,1,1,0,100,1,178,0,,,
2593478,Clinton Hill,Private room,1,1,1,60,70,365,11,98,10,10
3831,Clinton Hill,Entire home/apt,3,1,1,89,1,162,252,91,10,9
32783365,East Village,Entire home/apt,4,2,1,158,1,50,5,92,10,10
1182844,Hell's Kitchen,Entire home/apt,2,1,1,199,7,119,30,91,9,9
1151782,Hell's Kitchen,Entire home/apt,4,1,2,275,30,365,8,97,9,9
19219624,East Village,Private room,2,1,1,120,30,35,3,100,10,10
3552043,Clinton Hill,Entire home/apt,6,1,0,500,3,364,18,98,10,10
19830008,East Village,Private room,2,1.5,1,125,1,344,63,97,10,10
24223602,Prospect Heights,Entire home/apt,4,2,2,300,7,132,12,100,10,9
32281512,Prospect Heights,Entire home/apt,4,1,2,175,1,6,1,80,10,8
26518779,East Village,Entire home/apt,2,1,1,250,3,28,1,100,10,8
30372287,Prospect Heights,Entire home/apt,2,1,0,140,5,24,2,100,10,10
34331285,Upper West Side,Entire home/apt,2,1,1,99,1,15,0,,,
30096719,Clinton Hill,Entire home/apt,2,1,0,98,1,215,23,95,10,10
33964494,Hell's Kitchen,Entire home/apt,4,1,1,200,5,136,0,,,
33777679,Hell's Kitchen,Private room,3,1,1,249,3,11,0,,,
23955348,East Village,Entire home/apt,6,2,3,600,5,6,66,89,9,9
21618966,Bedford-Stuyvesant,Private room,1,1,1,70,3,123,12,90,9,9
32405349,Chelsea,Shared room,5,1,1,65,3,88,0,,,
28010779,Midtown,Entire home/apt,4,1,1,250,7,155,5,95,10,10
30950765,Midtown,Entire home/apt,2,1,0,390,31,179,0,,,
7202368,Bedford-Stuyvesant,Entire home/apt,2,1,1,98,3,189,85,95,10,10
26123841,East Village,Private room,2,1,1,90,3,11,25,90,9,9
4784741,East Village,Private room,2,1.5,1,125,1,9,37,97,10,10
31460579,Lower East Side,Entire home/apt,6,2,2,500,1,315,5,100,10,9
31360128,East Village,Entire home/apt,2,1,0,105,4,66,3,80,7,8
29828950,East Village,Private room,3,1,1,150,2,4,2,100,10,9
16513698,Lower East Side,Entire home/apt,6,1,3,349,3,100,68,98,10,9
27368472,Chelsea,Entire home/apt,2,1,0,180,29,304,0,,,
34017486,East Village,Private room,1,1,1,90,3,26,0,,,
34284261,Midtown,Entire home/apt,1,1,1,85,1,31,0,,,
27140232,Chelsea,Entire home/apt,5,1,2,155,2,113,0,,,
17905479,Chelsea,Entire home/apt,3,1,1,200,4,103,39,97,10,9
23766600,Hell's Kitchen,Entire home/apt,4,1,1,199,30,59,1,100,10,8
29148367,Little Italy,Entire home/apt,4,1,2,165,30,311,1,100,10,10
848071,Chinatown,Entire home/apt,2,1,1,100,2,120,37,95,10,9
34061588,Chinatown,Entire home/apt,3,1,0,135,5,306,0,,,
29277029,Little Italy,Entire home/apt,3,1,1,230,2,350,7,100,10,10
17093271,Lower East Side,Entire home/apt,5,1,2,155,3,143,61,86,9,9
32984848,Chinatown,Entire home/apt,4,1,2,199,3,98,3,100,9,10
20763209,Chinatown,Entire home/apt,2,1,0,145,4,77,11,95,10,9
3626609,Lower East Side,Entire home/apt,3,1,1,104,30,172,11,89,9,8
33135722,East Village,Private room,1,1,1,65,1,25,0,,,
34368310,Lower East Side,Private room,2,1,1,89,2,252,0,,,
