DATE,PCEPI_PC1
2001-02-01,2.40039
2001-03-01,1.96867
2001-04-01,2.25338
2001-05-01,2.45216
2001-06-01,2.30929
2001-07-01,2.03349
2001-08-01,2.04582
2001-09-01,1.27506
2001-10-01,1.50505
2001-11-01,1.30144
2001-12-01,1.06626
2002-01-01,0.69030
2002-02-01,0.72373
2002-03-01,1.00086
2002-04-01,1.24846
2002-05-01,1.05525
2002-06-01,0.99324
2002-07-01,1.23250
2002-08-01,1.43032
2002-09-01,1.93457
2002-10-01,1.75457
2002-11-01,1.92414
2002-12-01,2.11239
2003-01-01,2.30879
2003-02-01,2.55659
2003-03-01,2.52017
2003-04-01,1.90448
2003-05-01,1.70461
2003-06-01,1.68613
2003-07-01,1.75124
2003-08-01,1.87672
2003-09-01,1.99055
2003-10-01,1.76826
2003-11-01,1.77228
2003-12-01,1.91746
2004-01-01,2.01835
2004-02-01,1.84155
2004-03-01,1.77074
2004-04-01,2.12213
2004-05-01,2.58805
2004-06-01,2.80754
2004-07-01,2.66508
2004-08-01,2.42658
2004-09-01,2.33681
2004-10-01,2.76370
2004-11-01,3.00265
2004-12-01,2.83963
2005-01-01,2.53707
2005-02-01,2.59528
2005-03-01,2.72342
2005-04-01,2.84102
2005-05-01,2.58538
2005-06-01,2.31511
2005-07-01,2.61260
2005-08-01,2.95302
2005-09-01,3.74654
2005-10-01,3.49884
2005-11-01,2.91732
2005-12-01,2.87137
2006-01-01,3.25467
2006-02-01,2.99824
2006-03-01,2.86130
2006-04-01,2.99274
2006-05-01,3.12956
2006-06-01,3.31184
2006-07-01,3.23928
2006-08-01,3.13732
2006-09-01,1.89818
2006-10-01,1.47980
2006-11-01,1.73804
2006-12-01,2.13383
2007-01-01,2.00190
2007-02-01,2.29404
2007-03-01,2.48173
2007-04-01,2.25534
2007-05-01,2.31373
2007-06-01,2.28298
2007-07-01,2.07425
2007-08-01,1.84147
2007-09-01,2.48761
2007-10-01,3.05752
2007-11-01,3.54617
2007-12-01,3.40172
2008-01-01,3.34939
2008-02-01,3.23421
2008-03-01,3.19286
2008-04-01,3.23951
2008-05-01,3.40193
2008-06-01,3.90631
2008-07-01,4.19699
2008-08-01,4.02160
2008-09-01,3.72435
2008-10-01,2.86158
2008-11-01,1.19138
2008-12-01,0.37410
2009-01-01,0.17595
2009-02-01,0.17556
2009-03-01,-0.22431
2009-04-01,-0.31509
2009-05-01,-0.61644
2009-06-01,-0.71339
2009-07-01,-1.18358
2009-08-01,-0.83749
2009-09-01,-0.77245
2009-10-01,0.07946
2009-11-01,1.45864
2009-12-01,2.06551
2010-01-01,2.18638
2010-02-01,1.97816
2010-03-01,2.18765
2010-04-01,2.02235
2010-05-01,1.92814
2010-06-01,1.37908
2010-07-01,1.54869
2010-08-01,1.42091
2010-09-01,1.34689
2010-10-01,1.27129
2010-11-01,1.20202
2010-12-01,1.38839
2011-01-01,1.43331
2011-02-01,1.69682
2011-03-01,1.96620
2011-04-01,2.42627
2011-05-01,2.71422
2011-06-01,2.69303
2011-07-01,2.76758
2011-08-01,2.85608
2011-09-01,2.92711
2011-10-01,2.74977
2011-11-01,2.72769
2011-12-01,2.50159
2012-01-01,2.57097
2012-02-01,2.51928
2012-03-01,2.36851
2012-04-01,2.05668
2012-05-01,1.65540
2012-06-01,1.59821
2012-07-01,1.43706
2012-08-01,1.54849
2012-09-01,1.70727
2012-10-01,1.94085
2012-11-01,1.68478
2012-12-01,1.65686
2013-01-01,1.54854
2013-02-01,1.70993
2013-03-01,1.34967
2013-04-01,1.12797
2013-05-01,1.24400
2013-06-01,1.43797
2013-07-01,1.51114
2013-08-01,1.31309
2013-09-01,1.11282
2013-10-01,0.96177
2013-11-01,1.22696
2013-12-01,1.42097
2014-01-01,1.47818
2014-02-01,1.17077
2014-03-01,1.46412
2014-04-01,1.73795
2014-05-01,1.83514
2014-06-01,1.76033
2014-07-01,1.82360
2014-08-01,1.65377
2014-09-01,1.62581
2014-10-01,1.47710
2014-11-01,1.25557
2014-12-01,0.86354
2015-01-01,0.20730
2015-02-01,0.29644
2015-03-01,0.30514
2015-04-01,0.16239
2015-05-01,0.25377
2015-06-01,0.33591
2015-07-01,0.30976
2015-08-01,0.33451
2015-09-01,0.19450
2015-10-01,0.22738
2015-11-01,0.39750
2015-12-01,0.53475
2016-01-01,1.11620
2016-02-01,0.91056
2016-03-01,0.83384
2016-04-01,1.11104
2016-05-01,1.03537
2016-06-01,0.99523
2016-07-01,0.96011
2016-08-01,1.14412
2016-09-01,1.37432
2016-10-01,1.56163
2016-11-01,1.51725
2016-12-01,1.77241
2017-01-01,2.03317
2017-02-01,2.17672
2017-03-01,1.82563
2017-04-01,1.73204
2017-05-01,1.51408
2017-06-01,1.41626
2017-07-01,1.40482
2017-08-01,1.43558
2017-09-01,1.65595
2017-10-01,1.59593
2017-11-01,1.74471
2017-12-01,1.70396
2018-01-01,1.62995
2018-02-01,1.67455
2018-03-01,1.96157
2018-04-01,1.97592
2018-05-01,2.25240
