DATE,AHETPI_PC1,CPILFESL_PC1
2001-02-01,4.13043,2.78707
2001-03-01,4.11552,2.61111
2001-04-01,3.95683,2.66223
2001-05-01,4.01722,2.54566
2001-06-01,3.93138,2.70569
2001-07-01,3.70634,2.69972
2001-08-01,3.76688,2.63881
2001-09-01,3.53857,2.63302
2001-10-01,3.38505,2.62870
2001-11-01,3.44343,2.73075
2001-12-01,3.21903,2.78232
2002-01-01,3.28901,2.61011
2002-02-01,2.92276,2.54881
2002-03-01,2.77393,2.43638
2002-04-01,2.69896,2.48514
2002-05-01,2.62069,2.53643
2002-06-01,2.75103,2.25806
2002-07-01,2.95533,2.19957
2002-08-01,2.87671,2.35672
2002-09-01,2.93917,2.24479
2002-10-01,3.13779,2.18783
2002-11-01,2.92120,2.02020
2002-12-01,3.11864,1.96391
2003-01-01,3.11653,1.96078
2003-02-01,3.38066,1.79799
2003-03-01,3.10391,1.74419
2003-04-01,2.96496,1.47601
2003-05-01,3.02419,1.52632
2003-06-01,2.81124,1.47213
2003-07-01,2.80374,1.52231
2003-08-01,2.66312,1.30822
2003-09-01,2.39044,1.25457
2003-10-01,2.05026,1.30548
2003-11-01,2.11221,1.09432
2003-12-01,1.70940,1.09318
2004-01-01,1.90539,1.14345
2004-02-01,1.63506,1.24675
2004-03-01,1.83246,1.55844
2004-04-01,2.02880,1.76623
2004-05-01,2.02218,1.71073
2004-06-01,2.01823,1.86528
2004-07-01,1.94805,1.75801
2004-08-01,2.07523,1.70455
2004-09-01,2.33463,1.96180
2004-10-01,2.46273,2.01031
2004-11-01,2.39173,2.21649
2004-12-01,2.52101,2.26571
2005-01-01,2.51451,2.26105
2005-02-01,2.50965,2.30888
2005-03-01,2.63496,2.35294
2005-04-01,2.69403,2.19500
2005-05-01,2.55754,2.19164
2005-06-01,2.61646,2.03459
2005-07-01,2.86624,2.08333
2005-08-01,2.73189,2.13306
2005-09-01,2.59823,1.92405
2005-10-01,3.03605,2.07175
2005-11-01,2.90404,2.11800
2005-12-01,3.15259,2.11480
2006-01-01,3.27044,2.11055
2006-02-01,3.45261,2.10632
2006-03-01,3.56919,2.09895
2006-04-01,3.93504,2.29770
2006-05-01,3.80299,2.44389
2006-06-01,3.98010,2.64207
2006-07-01,3.90093,2.68790
2006-08-01,4.08163,2.83441
2006-09-01,4.13836,2.93095
2006-10-01,3.99018,2.77228
2006-11-01,4.17178,2.61728
2006-12-01,4.21760,2.61341
2007-01-01,4.08039,2.65748
2007-02-01,4.06553,2.71857
2007-03-01,4.11125,2.50514
2007-04-01,3.84615,2.41553
2007-05-01,4.14414,2.26777
2007-06-01,4.18660,2.18164
2007-07-01,4.05244,2.16820
2007-08-01,3.98099,2.08849
2007-09-01,4.15184,2.10135
2007-10-01,3.77804,2.15655
2007-11-01,3.82803,2.33879
2007-12-01,3.75367,2.43537
2008-01-01,3.80339,2.47891
2008-02-01,3.79009,2.29708
2008-03-01,3.83275,2.38852
2008-04-01,3.70370,2.29467
2008-05-01,3.69089,2.32222
2008-06-01,3.55913,2.39173
2008-07-01,3.66552,2.46331
2008-08-01,3.88571,2.49812
2008-09-01,3.64465,2.43862
2008-10-01,3.81115,2.22136
2008-11-01,3.91378,2.01589
2008-12-01,3.90051,1.76246
2009-01-01,3.72041,1.67235
2009-02-01,3.65169,1.80098
2009-03-01,3.46756,1.78761
2009-04-01,3.34821,1.93233
2009-05-01,3.05895,1.84613
2009-06-01,2.88248,1.71197
2009-07-01,2.76243,1.52710
2009-08-01,2.64026,1.43397
2009-09-01,2.74725,1.47984
2009-10-01,2.68493,1.71273
2009-11-01,2.67467,1.71424
2009-12-01,2.50272,1.82367
2010-01-01,2.66304,1.51234
2010-02-01,2.54743,1.34945
2010-03-01,2.27027,1.15921
2010-04-01,2.37581,0.96751
2010-05-01,2.59039,0.94014
2010-06-01,2.53233,0.95020
2010-07-01,2.41935,0.95775
2010-08-01,2.35798,0.91710
