Date,Technology
9/8/2010,1
9/9/2010,1
9/10/2010,0.99
9/13/2010,1
9/14/2010,1
9/15/2010,1
9/16/2010,1
9/17/2010,1
9/20/2010,1
9/21/2010,1
9/22/2010,1
9/23/2010,1
9/24/2010,1
9/27/2010,1
9/28/2010,1
9/29/2010,1
9/30/2010,1
10/1/2010,1
10/4/2010,1
10/5/2010,1
10/6/2010,1
10/7/2010,1
10/8/2010,1
10/11/2010,1
10/12/2010,1
10/13/2010,1
10/14/2010,1
10/15/2010,1
10/18/2010,1
10/19/2010,1
10/20/2010,1
10/21/2010,1.01
10/22/2010,1.01
10/25/2010,1.01
10/26/2010,1.01
10/27/2010,1.01
10/28/2010,1.01
10/29/2010,1.02
11/1/2010,1.02
11/2/2010,1.02
11/3/2010,1.02
11/4/2010,1.02
11/5/2010,1.02
11/8/2010,1.02
11/9/2010,1.02
11/10/2010,1.01
11/11/2010,1.02
11/12/2010,1.02
11/15/2010,1.02
11/16/2010,1.02
11/17/2010,1.02
11/18/2010,1.02
11/19/2010,1.02
11/22/2010,1.02
11/23/2010,1.02
11/24/2010,1.02
11/26/2010,1.02
11/29/2010,1.02
11/30/2010,1.02
12/1/2010,1.02
12/2/2010,1.02
12/3/2010,1.03
12/6/2010,1.02
12/7/2010,1.02
12/8/2010,1.03
12/9/2010,1.02
12/10/2010,1.02
12/13/2010,1.03
12/14/2010,1.03
12/15/2010,1.03
12/16/2010,1.02
12/17/2010,1.02
12/20/2010,1.02
12/21/2010,1.02
12/22/2010,1.02
12/23/2010,1.02
12/27/2010,1.02
12/28/2010,1.02
12/29/2010,1.02
12/30/2010,1.02
12/31/2010,1.02
1/3/2011,1.02
1/4/2011,1.02
1/5/2011,1.02
1/6/2011,1.02
1/7/2011,1.02
1/10/2011,1.02
1/11/2011,1.02
1/12/2011,1.02
1/13/2011,1.02
1/14/2011,1.02
1/18/2011,1.02
1/19/2011,1.02
1/20/2011,1.02
1/21/2011,1.01
1/24/2011,1.01
1/25/2011,1.01
1/26/2011,1.01
1/27/2011,1.01
1/28/2011,1
1/31/2011,1
2/1/2011,1.01
2/2/2011,1.01
2/3/2011,1.01
2/4/2011,1.01
2/7/2011,1.01
2/8/2011,1.01
2/9/2011,1.01
2/10/2011,1.01
2/11/2011,1.01
2/14/2011,1.01
2/15/2011,1.01
2/16/2011,1.01
2/17/2011,1.01
2/18/2011,1.01
2/22/2011,1.02
2/23/2011,1.02
2/24/2011,1.02
2/25/2011,1.02
2/28/2011,1.02
3/1/2011,1.02
3/2/2011,1.02
3/3/2011,1.02
3/4/2011,1.02
3/7/2011,1.02
3/8/2011,1.02
3/9/2011,1.02
3/10/2011,1.02
3/11/2011,1.02
3/14/2011,1.02
3/15/2011,1.02
3/16/2011,1.02
3/17/2011,1.02
3/18/2011,1.02
3/21/2011,1.02
3/22/2011,1.02
3/23/2011,1.02
3/24/2011,1.02
3/25/2011,1.02
3/28/2011,1.03
3/29/2011,1.03
3/30/2011,1.02
3/31/2011,1.03
4/1/2011,1.02
4/4/2011,1.02
4/5/2011,1.03
4/6/2011,1.03
4/7/2011,1.03
4/8/2011,1.03
4/11/2011,1.03
4/12/2011,1.02
4/13/2011,1.02
4/14/2011,1.03
4/15/2011,1.02
4/18/2011,1.02
4/19/2011,1.02
4/20/2011,1.03
4/21/2011,1.03
4/25/2011,1.03
4/26/2011,1.03
4/27/2011,1.03
4/28/2011,1.03
4/29/2011,1.03
5/2/2011,1.03
5/3/2011,1.03
5/4/2011,1.03
5/5/2011,1.02
5/6/2011,1.02
5/9/2011,1.01
5/10/2011,1.01
5/11/2011,1.01
5/12/2011,1.01
5/13/2011,1.01
5/16/2011,1.01
5/17/2011,1.01
5/18/2011,1.01
5/19/2011,1.01
5/20/2011,1.02
5/23/2011,1.02
5/24/2011,1.02
5/25/2011,1.02
5/26/2011,1.02
5/27/2011,1.02
5/31/2011,1.03
6/1/2011,1.03
6/2/2011,1.03
6/3/2011,1.04
6/6/2011,1.04
6/7/2011,1.04
6/8/2011,1.04
6/9/2011,1.05
6/10/2011,1.04
6/13/2011,1.04
6/14/2011,1.04
6/15/2011,1.04
6/16/2011,1.04
6/17/2011,1.04
6/20/2011,1.04
6/21/2011,1.05
6/22/2011,1.05
6/23/2011,1.05
6/24/2011,1.05
6/27/2011,1.05
6/28/2011,1.04
6/29/2011,1.04
6/30/2011,1.04
7/1/2011,1.04
7/5/2011,1.04
7/6/2011,1.04
7/7/2011,1.04
7/8/2011,1.04
7/11/2011,1.04
7/12/2011,1.04
7/13/2011,1.04
7/14/2011,1.04
7/15/2011,1.05
7/18/2011,1.04
7/19/2011,1.05
7/20/2011,1.05
7/21/2011,1.04
7/22/2011,1.04
7/25/2011,1.05
7/26/2011,1.04
7/27/2011,1.05
7/28/2011,1.05
7/29/2011,1.05
8/1/2011,1.05
8/2/2011,1.05
8/3/2011,1.05
8/4/2011,1.04
8/5/2011,1.04
8/8/2011,1.01
8/9/2011,1
8/10/2011,1
8/11/2011,1
8/12/2011,0.99
8/15/2011,0.99
8/16/2011,0.99
8/17/2011,0.99
8/18/2011,1.01
8/19/2011,1.01
8/22/2011,1.01
8/23/2011,1.01
8/24/2011,1.01
8/25/2011,1.01
8/26/2011,1.02
8/29/2011,1.02
8/30/2011,1.02
8/31/2011,1.02
9/1/2011,1.02
9/2/2011,1.02
9/6/2011,1.02
9/7/2011,1.02
9/8/2011,1.01
9/9/2011,1.01
9/12/2011,1.01
9/13/2011,1.01
9/14/2011,1.01
9/15/2011,1.01
9/16/2011,1.01
9/19/2011,1.01
9/20/2011,1.01
9/21/2011,1
9/22/2011,1
9/23/2011,1
9/26/2011,1
9/27/2011,1
9/28/2011,0.99
9/29/2011,0.99
9/30/2011,0.99
10/3/2011,0.99
10/4/2011,0.99
10/5/2011,0.99
