Date,Time,Day,Hour,Subject,Text
2017-09-19 14:23:06,14:23:06,Tues,14,A message from JPMorgan Chase & Co.,"[<email.message.Message object at 0x11628230>, <email.message.Message object at 0x11628270>]"
2017-10-12 11:52:10,11:52:10,Thur,11,A message from JPMorgan Chase & Co.,"[<email.message.Message object at 0x116281B0>, <email.message.Message object at 0x116281D0>]"
2017-11-03 19:12:27,19:12:27,Fri,19,A message from JPMorgan Chase & Co.,"[<email.message.Message object at 0x116283D0>, <email.message.Message object at 0x11628450>]"
2017-11-28 09:20:39,09:20:39,Tues,9,"Corporate Investment Banking Undergraduate Spring Co-Op-1707594 at
 santanderus (Santander Bank, N.A.)","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""/><title></title>
</head>
<body style='font-family: Arial, Times New Roman, Verdana, Sans-Serif; padding: 5px 5px 5px 5px; margin: 0px; border-style: none; background-color: #ffffff'>
<div><p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><img src= ""http://santanderus.taleo.net/custom/images/company_logo_01.gif""> </img></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Dear Andre,</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p></div><div><div>
<p style=""color: rgb(77, 77, 77); font-family: &quot;Arial Unicode MS&quot;, Arial, Helvetica, sans-serif; margin: 0in 0in 0pt;"" style=""margin-top:0px;margin-bottom:0px""><span style=""font-size:1em"">Thank you for your interest in santanderus (Santander Bank, N.A.). We appreciate you taking the time to consider us. While your qualifications are impressive, we currently have candidates for Corporate Investment Banking Undergraduate Spring Co-Op-1707594 under consideration that more closely match our current needs, and accordingly, will not be moving forward with your candidacy for this position. However, if you have applied to multiple positions you may still be under consideration for those, unless you have heard back from us otherwise.</span></p>
<p style=""color: rgb(77, 77, 77); font-family: &quot;Arial Unicode MS&quot;, Arial, Helvetica, sans-serif; margin: 0in 0in 0pt;"" style=""margin-top:0px;margin-bottom:0px""><span style=""font-size:1em""><br />
We will keep your application in our database and may inform you of job openings that match your profile&nbsp;<strong><span style=""text-decoration:underline"">if you selected this option</span></strong>. We also invite you to visit the Career Section on our Web site regularly.<br />
<br />
Again, thank you for your interest in santanderus (Santander Bank, N.A.) and wish you all the best in your career.</span></p>
<span style=""font-family:arial""><br />
</span></div></div><div><p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial;font-size:1em"">Best Regards,&nbsp;</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial;font-size:1em"">Human Resources Department&nbsp;</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial;font-size:1em"">Santander</span></p></div><div><div><em><br />
</em></div>
<em>Replies to this message are undeliverable and will not reach the Human Resources Department. Please do not reply.</em></div><div><div><span style=""FONT-FAMILY: Arial"">________________________________________________________<br />
Set your account preferences anytime by accessing the <a href=""https://santanderus.taleo.net/careersection/careersection/candidateportal/myaccount/myAccountView.jsf?lang=en&csNo=2&portal=101430233"">My Account</a> page.<br />
</span></div></div></body>
</html>
"
2018-02-06 14:39:04,14:39:04,Tues,14,Your Citi Application: Outcome,"Dear Andre,

We hope this letter finds you well. It must be a busy time on campus for yo=
u and we just wanted to thank you for taking the time out of your schedule =
to complete the application for the role of NAM Investment Banking Financia=
l Institutions Group, Summer Analyst - New York.

Unfortunately, after much consideration, we are not able to offer you an in=
terview at this time. However, we hope that this will not be the last time =
we connect. We invite you to keep in touch with Citi and check back periodi=
cally throughout the course of your career in case a position of better fit=
 arises.

Our list of available opportunities can be found by visiting: oncampus.citi=
=2Ecom=20
We sincerely appreciate your interest in Citi, and wish you much success in=
 the future.=20

All the best,=20
Citi Graduate Recruitment Team  =20

  	Connect with us 	 [1]   	 [2]   	 [3]   	 [4]   	 [5]   	 [6]  =20

 The information contained in this electronic message and any attachments (=
the ""Message"") is intended for one or more specific individuals or entities=
, and may be confidential, proprietary, privileged or otherwise protected b=
y law. If you are not the intended recipient, please notify the sender imme=
diately, delete this Message and do not disclose, distribute, or copy it to=
 any third party or otherwise use this Message. Electronic messages are not=
 secure or error free and can contain viruses or may be delayed, and the se=
nder is not liable for any of these occurrences. The sender reserves the ri=
ght to monitor, record and retain electronic messages.=20

To ensure delivery to your inbox, please add us to your address book. Getti=
ng these notifications too often? [7] Unsubscribe from these emails at any =
time. Please do not reply to this email, as we are unable to respond from t=
his address. Citi, 388 Greenwich St., New York, NY 10013.

References

	Visible links
	1. https://www.facebook.com/CitiCareers/
	2. https://twitter.com/citicareers
	3. https://www.linkedin.com/company/citi/careers
	4. https://www.youtube.com/user/CITI
	5. https://www.glassdoor.com/citi
	6. https://www.instagram.com/citicareers/
	7. https://citi.avature.net/unsubscribe.php?uid=3Df60e658c4f926c627162f9c7=
bccd7c1f644cecd4&code=3D-cQt0hbA7mFjKplWnK2CuZ9t4rl9VYvL&lang=3D1
"
2017-10-26 11:35:49,11:35:49,Thur,11,"MUFG Union Bank, N.A. Application Status: Corporate, Investment
 Banking & Markets, Summer Analyst (New York)","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""/><title></title>
</head>
<body style='font-family: Arial, Times New Roman, Verdana, Sans-Serif; padding: 5px 5px 5px 5px; margin: 0px; border-style: none; background-color: #ffffff'>
<div><p style=""margin-top: 0px; margin-bottom: 0px;"">Dear Andre,<br />
&nbsp;<br />
Thank you for expressing interest in the summer analyst position with MUFG Union Bank, N.A.&nbsp; After careful consideration, we regret to inform you that you have not been selected for this position.&nbsp; We have decided to move forward with another candidate whose current level of education, major, and experience is more in alignment with the requirements for the position.<br />
&nbsp;<br />
If you have applied to another position with the bank, you will receive a separate status on your candidacy for that position.<br />
&nbsp;<br />
Your profile is automatically retained in our searchable talent database so that we may contact you regarding future opportunities.&nbsp; We encourage you to visit our career site to regularly update your profile.&nbsp; Additionally, you may choose to be automatically notified of positions that match your career goals.&nbsp; To review and/or update your profile, please <a href=""https://careers.mufg-americas.com/"" rel=""external"">click here</a>.<br />
&nbsp;<br />
Please accept our best wishes for success in your search for summer employment!<br />
&nbsp;<br />
Very truly yours,<br />
&nbsp;<br />
&nbsp;<br />
University Relations<br />
Talent Acquisition &amp; Staffing<br />
&nbsp;</p>
<p style=""margin-top: 0px; margin-bottom: 0px;""><em><span style=""font-size:0.833em"">We are proud to be an Equal Opportunity/Affirmative Action Employer and committed to leveraging the diverse backgrounds, perspectives and experience of our workforce to create opportunities for our colleagues and our business. We do not discriminate in employment decisions on the basis of any protected category.<br />
&nbsp;<br />
This is an automatically generated message - please do not respond to this email.</span></em><br />
</p></div></body>
</html>
"
2017-12-21 11:02:30,11:02:30,Thur,11,Bank of America Application Update,"RGVhciBBbmRyZSwKClRoYW5rIHlvdSB2ZXJ5IG11Y2ggZm9yIGFwcGx5aW5n
IHRvIHRoZSBHbG9iYWwgUmVzZWFyY2ggU3VtbWVyIEFuYWx5c3QgUHJvZ3Jh
bSAyMDE4LsKgQXMgeW91IGNhbiBpbWFnaW5lLCB0aGUgc2VsZWN0aW9uIHBy
b2Nlc3MgZm9yIHRoaXMgcHJvZ3JhbSB3YXMgaGlnaGx5IGNvbXBldGl0aXZl
LiBHaXZlbiB0aGUgaGlnaCBjYWxpYmVyIG9mIGluZGl2aWR1YWxzIHdobyBh
cHBsaWVkLCBvdXIgdGFzayB3YXMgbm90IGFuIGVhc3kgb25lLiBNb3JlIG9m
dGVuIHRoYW4gbm90LCB3ZSByZXZpZXcgYW5kIG1lZXQgbWFueSBxdWFsaWZp
ZWQgY2FuZGlkYXRlcyB3aG8gd2XigJlyZSBub3QgYWJsZSB0byBzZWxlY3Qs
IGdpdmVuIG91ciBoaXJpbmcgbmVlZHMuIFVuZm9ydHVuYXRlbHksIGR1ZSB0
byBhIGxpbWl0ZWQgbnVtYmVyIG9mIG9wZW5pbmdzIGFuZCBsYXJnZSBudW1i
ZXIgb2YgaGlnaGx5IHF1YWxpZmllZCBhcHBsaWNhbnRzLCB3ZSB3ZXJlIG5v
dCBhYmxlIHRvIG1vdmUgZm9yd2FyZCB3aXRoIHlvdXIgY2FuZGlkYWN5IGZv
ciB0aGlzIHByb2dyYW0uIE91ciBwcm9ncmFtIGhhcyBvZmZpY2lhbGx5IGNs
b3NlZCwgaG93ZXZlciwgd2UgZW5jb3VyYWdlIHlvdSB0byBhcHBseSBmb3Ig
ZnVsbC10aW1lIG9wcG9ydHVuaXRpZXMgdXBvbiB0aGUgc3RhcnQgb2YgeW91
ciBzZW5pb3IgeWVhciBhbmQgd2lzaCB5b3UgZXZlcnkgc3VjY2VzcyBpbiB5
b3VyIGZ1dHVyZSBlbmRlYXZvcnMuClRoYW5rIHlvdSwKR2xvYmFsIE1hcmtl
dHMgQ2FtcHVzIFJlY3J1aXRpbmfCoAo=
"
2018-05-24 09:38:15,09:38:15,Thur,9,"Corporate Investment Banking Undergraduate Summer
 Internship-1707748 at santanderus (Santander Bank, N.A.)","<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""/><title></title>
</head>
<body style='font-family: Arial, Times New Roman, Verdana, Sans-Serif; padding: 5px 5px 5px 5px; margin: 0px; border-style: none; background-color: #ffffff'>
<div><p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><img src= ""http://santanderus.taleo.net/custom/images/company_logo_01.gif""> </img></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Dear Andre,</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">&nbsp;</p></div><div><div>
<p style=""color: rgb(77, 77, 77); font-family: &quot;Arial Unicode MS&quot;, Arial, Helvetica, sans-serif; margin: 0in 0in 0pt;"" style=""margin-top:0px;margin-bottom:0px""><span style=""font-size:1em"">Thank you for your interest in santanderus (Santander Bank, N.A.). We appreciate you taking the time to consider us. While your qualifications are impressive, we currently have candidates for Corporate Investment Banking Undergraduate Summer Internship-1707748 under consideration that more closely match our current needs, and accordingly, will not be moving forward with your candidacy for this position. However, if you have applied to multiple positions you may still be under consideration for those, unless you have heard back from us otherwise.</span></p>
<p style=""color: rgb(77, 77, 77); font-family: &quot;Arial Unicode MS&quot;, Arial, Helvetica, sans-serif; margin: 0in 0in 0pt;"" style=""margin-top:0px;margin-bottom:0px""><span style=""font-size:1em""><br />
We will keep your application in our database and may inform you of job openings that match your profile&nbsp;<strong><span style=""text-decoration:underline"">if you selected this option</span></strong>. We also invite you to visit the Career Section on our Web site regularly.<br />
<br />
Again, thank you for your interest in santanderus (Santander Bank, N.A.) and wish you all the best in your career.</span></p>
<span style=""font-family:arial""><br />
</span></div></div><div><p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial;font-size:1em"">Best Regards,&nbsp;</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial;font-size:1em"">Human Resources Department&nbsp;</span></p>
<p style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px""><span style=""font-family:Arial;font-size:1em"">Santander</span></p></div><div><div><em><br />
</em></div>
<em>Replies to this message are undeliverable and will not reach the Human Resources Department. Please do not reply.</em></div><div><div><span style=""FONT-FAMILY: Arial"">________________________________________________________<br />
Set your account preferences anytime by accessing the <a href=""https://santanderus.taleo.net/careersection/careersection/candidateportal/myaccount/myAccountView.jsf?lang=en&csNo=2&portal=101430233"">My Account</a> page.<br />
</span></div></div></body>
</html>
"
2018-09-02 06:00:07,06:00:07,Sun,6,HSBC 2018 Application Status Update,"Dear Andre,

Thank you for completing the job simulation as part of your HSBC application to Graduate - Global Banking & Markets - Global Banking - Investment Banking - North America - USA - New York.

In order to gain a full understanding of the meaning of your test results, your performance has been compared to that of a large group of individuals who have previously completed these tests when applying for a Graduate / Internship role at HSBC Global Businesses. We regret to advise you that you have not been successful in meeting our requirements.

We would like to take this opportunity to thank you for your interest in HSBC and wish you every success for the future.

Kind regards
HSBC Graduate Recruitment Team"
2018-09-02 05:44:03,05:44:03,Sun,5,Your application at UBS,"RGVhciBBbmRyZSwNCg0KVGhhbmsgeW91IGZvciB5b3VyIHRpbWUgaW4gY29tcGxldGlu
ZyBvdXIgb25saW5lIGFzc2Vzc21lbnRzIGZvciB0aGUgcm9sZSBvZiBHcmFkdWF0ZSBU
YWxlbnQgUHJvZ3JhbSAyMDE5LCBDb3Jwb3JhdGUgQ2xpZW50IFNvbHV0aW9ucyBJQkQg
SG9uZyBLb25nICgxNzg2MDFCUikuDQoNCkF0IHRoaXMgc3RhZ2UsIHdlJ3ZlIGRlY2lk
ZWQgbm90IHRvIHByb2dyZXNzIGZ1cnRoZXIgd2l0aCB5b3VyIGFwcGxpY2F0aW9uLldl
J2xsIGtlZXAgeW91ciBwcm9maWxlIGluIG91ciBkYXRhYmFzZS4gSWYgeW91IGFyZSBp
bnRlcmVzdGVkLCB3ZSBwdXQgbmV3IGpvYnMgb24gb3VyIGNhcmVlcnMgd2Vic2l0ZSBl
dmVyeSBkYXkuIEhvd2V2ZXIsIHBsZWFzZSB0YWtlIG5vdGUgb2YgdGhlIGJlbG93IHBv
bGljeTrigKIgQW1lcmljYXM6IFlvdSBtYXkgc3VibWl0IGEgbWF4aW11bSBvZiAzIGFw
cGxpY2F0aW9ucyBhdCB0aGUgc2FtZSB0aW1lIGFjcm9zcyBhbGwgb3VyIGRpdmlzaW9u
cyBhbmQgVVMgcmVnaW9uYWwgb2ZmaWNlcyBkdXJpbmcgdGhlIHNhbWUgYWNhZGVtaWMg
eWVhci4NCg0K4oCiIEFzaWEgUGFjaWZpYzogWW91IG1heSBhcHBseSBmb3Igbm8gbW9y
ZSB0aGFuIHRocmVlIHByb2dyYW1zL3JvbGVzIGFjcm9zcyBjb3VudHJpZXMgYW5kIHJl
Z2lvbnMgZHVyaW5nIHRoZSBzYW1lIGFjYWRlbWljIHllYXIuIEZvciBleGFtcGxlLCBp
ZiB5b3Ugd2lzaCB0byBhcHBseSBmb3IgdGhlIFNpbmdhcG9yZSBHcmFkdWF0ZSBUYWxl
bnQgUHJvZ3JhbSBpbiBDQ1MsIHlvdSBtYXkgYWxzbyBwcm9jZWVkIHRvIGFwcGx5IGZv
ciBhbnkgb3RoZXIgR3JhZHVhdGUgVGFsZW50IFByb2dyYW0gb3IgVUJTIGFyZWEgKHN1
Y2ggYXMgRXF1aXRpZXMsIE9wZXJhdGlvbnMpIGluIFNpbmdhcG9yZSBvciBlbHNld2hl
cmUgaW4gQXNpYSBQYWNpZmljIG9yIEFtZXJpY2FzLiBMaWtld2lzZSBmb3IgSW50ZXJu
c2hpcCwgeW91IG1heSBhcHBseSBmb3IgdGhlIEhvbmcgS29uZyBTdW1tZXIgSW50ZXJu
c2hpcCBQcm9ncmFtIGluIEVxdWl0aWVzIGFuZCBOZXcgWW9yayBTdW1tZXIgSW50ZXJu
c2hpcCBQcm9ncmFtIGluIEVxdWl0aWVzLg0KDQrigKIgRXVyb3BlLCBNaWRkbGUgRWFz
dCwgQWZyaWNhIChleGNsLiBTd2l0emVybGFuZCk6IFlvdSBtYXkgb25seSBhcHBseSBm
b3Igb25lIHByb2dyYW0gaW4gb25lIGNvdW50cnkgb2YgeW91ciBjaG9pY2UgZHVyaW5n
IHRoZSBzYW1lIGFjYWRlbWljIHllYXIuIEZvciBleGFtcGxlLCBpZiB5b3Ugd2lzaCB0
byBhcHBseSBmb3IgdGhlIExvbmRvbiBHcmFkdWF0ZSBUYWxlbnQgUHJvZ3JhbSBpbiBF
cXVpdGllcywgeW91J2xsIG5vdCBiZSBhYmxlIHRvIGFwcGx5IGZvciBhbnkgb3RoZXIg
cHJvZ3JhbSAoR3JhZHVhdGUgVGFsZW50IFByb2dyYW0gb3IgSW50ZXJuc2hpcCkgb3Ig
YXJlYSAoSUJELCBPcGVyYXRpb25zKSBpbiBMb25kb24gb3IgZWxzZXdoZXJlIGluIEVN
RUEuIA0KDQrigKIgU3dpdHplcmxhbmQ6IFlvdSBtYXkgc3VibWl0IGEgbWF4aW11bSBv
ZiAzIGFwcGxpY2F0aW9ucyBhdCB0aGUgc2FtZSB0aW1lIGFjcm9zcyBhbGwgZGl2aXNp
b25zIGFuZCBTd2lzcyBvZmZpY2VzIGluIGFueSBnaXZlbiBoaXJpbmcgeWVhci5VQlMg
UmVjcnVpdGluZyBUZWFtDQo="
