Date,Province_State,Cases,Deaths,New Cases,New Deaths
2020-01-22,Alabama,0,0,0,0
2020-01-23,Alabama,0,0,0,0
2020-01-24,Alabama,0,0,0,0
2020-01-25,Alabama,0,0,0,0
2020-01-26,Alabama,0,0,0,0
2020-01-27,Alabama,0,0,0,0
2020-01-28,Alabama,0,0,0,0
2020-01-29,Alabama,0,0,0,0
2020-01-30,Alabama,0,0,0,0
2020-01-31,Alabama,0,0,0,0
2020-02-01,Alabama,0,0,0,0
2020-02-02,Alabama,0,0,0,0
2020-02-03,Alabama,0,0,0,0
2020-02-04,Alabama,0,0,0,0
2020-02-05,Alabama,0,0,0,0
2020-02-06,Alabama,0,0,0,0
2020-02-07,Alabama,0,0,0,0
2020-02-08,Alabama,0,0,0,0
2020-02-09,Alabama,0,0,0,0
2020-02-10,Alabama,0,0,0,0
2020-02-11,Alabama,0,0,0,0
2020-02-12,Alabama,0,0,0,0
2020-02-13,Alabama,0,0,0,0
2020-02-14,Alabama,0,0,0,0
2020-02-15,Alabama,0,0,0,0
2020-02-16,Alabama,0,0,0,0
2020-02-17,Alabama,0,0,0,0
2020-02-18,Alabama,0,0,0,0
2020-02-19,Alabama,0,0,0,0
2020-02-20,Alabama,0,0,0,0
2020-02-21,Alabama,0,0,0,0
2020-02-22,Alabama,0,0,0,0
2020-02-23,Alabama,0,0,0,0
2020-02-24,Alabama,0,0,0,0
2020-02-25,Alabama,0,0,0,0
2020-02-26,Alabama,0,0,0,0
2020-02-27,Alabama,0,0,0,0
2020-02-28,Alabama,0,0,0,0
2020-02-29,Alabama,0,0,0,0
2020-03-01,Alabama,0,0,0,0
2020-03-02,Alabama,0,0,0,0
2020-03-03,Alabama,0,0,0,0
2020-03-04,Alabama,0,0,0,0
2020-03-05,Alabama,0,0,0,0
2020-03-06,Alabama,0,0,0,0
2020-03-07,Alabama,0,0,0,0
2020-03-08,Alabama,0,0,0,0
2020-03-09,Alabama,0,0,0,0
2020-03-10,Alabama,0,0,0,0
2020-03-11,Alabama,0,0,0,0
2020-03-12,Alabama,0,0,0,0
2020-03-13,Alabama,8,0,8,0
2020-03-14,Alabama,8,0,0,0
2020-03-15,Alabama,11,0,3,0
2020-03-16,Alabama,29,0,18,0
2020-03-17,Alabama,39,0,10,0
2020-03-18,Alabama,51,0,12,0
2020-03-19,Alabama,78,0,27,0
2020-03-20,Alabama,106,0,28,0
2020-03-21,Alabama,131,0,25,0
2020-03-22,Alabama,157,0,26,0
2020-03-23,Alabama,196,0,39,0
2020-03-24,Alabama,242,0,46,0
2020-03-25,Alabama,381,1,139,1
2020-03-26,Alabama,517,1,136,0
2020-03-27,Alabama,587,4,70,3
2020-03-28,Alabama,694,4,107,0
2020-03-29,Alabama,825,10,131,6
2020-03-30,Alabama,899,10,74,0
2020-03-31,Alabama,987,31,88,21
2020-04-01,Alabama,1060,27,73,0
2020-04-02,Alabama,1233,37,173,10
