UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,7/1/2021,7/2/2021,7/3/2021,7/4/2021,7/5/2021,7/6/2021,7/7/2021,7/8/2021,7/9/2021,7/10/2021,7/11/2021,7/12/2021,7/13/2021,7/14/2021,7/15/2021,7/16/2021,7/17/2021,7/18/2021,7/19/2021,7/20/2021,7/21/2021,7/22/2021,7/23/2021,7/24/2021,7/25/2021,7/26/2021,7/27/2021,7/28/2021,7/29/2021,7/30/2021,7/31/2021,8/1/2021,8/2/2021,8/3/2021,8/4/2021,8/5/2021,8/6/2021,8/7/2021
84001001,US,USA,840,1001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",7257,7262,7262,7262,7262,7262,7277,7277,7294,7299,7299,7306,7306,7320,7329,7341,7346,7347,7350,7365,7375,7388,7394,7402,7419,7435,7456,7479,7479,7479,7537,7563,7585,7615,7635,7670,7694,7745
84001003,US,USA,840,1003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",22027,22043,22043,22043,22043,22043,22154,22154,22220,22267,22267,22337,22337,22464,22556,22642,22734,22802,22876,23032,23184,23319,23487,23668,23810,23922,24213,24499,24499,24499,25207,25399,25567,25860,26175,26472,26822,27098
84001005,US,USA,840,1005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",2346,2347,2347,2347,2347,2347,2354,2354,2361,2365,2365,2367,2367,2373,2377,2386,2389,2394,2396,2411,2415,2418,2422,2431,2434,2437,2451,2462,2462,2462,2506,2509,2520,2537,2543,2562,2585,2610
84001007,US,USA,840,1007,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",2693,2693,2693,2693,2693,2693,2699,2699,2699,2702,2702,2704,2704,2708,2713,2719,2721,2727,2733,2747,2753,2761,2782,2795,2801,2814,2829,2845,2845,2845,2897,2904,2909,2928,2937,2960,2973,2990
84001009,US,USA,840,1009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",6987,6988,6988,6988,6988,6988,7013,7013,7018,7023,7023,7025,7025,7055,7059,7073,7090,7099,7103,7108,7133,7147,7161,7182,7184,7195,7233,7266,7266,7266,7352,7362,7382,7417,7463,7497,7542,7567
84001011,US,USA,840,1011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",1249,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1251,1251,1252,1252,1252,1252,1253,1253,1255,1256,1256,1256,1260,1261,1261,1261,1265,1265,1265,1265,1265,1267,1267,1270
84001013,US,USA,840,1013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",2262,2264,2264,2264,2264,2264,2270,2270,2273,2279,2279,2283,2283,2288,2289,2296,2300,2301,2303,2315,2328,2335,2346,2356,2361,2365,2376,2382,2382,2382,2401,2408,2414,2424,2436,2457,2470,2485
84001015,US,USA,840,1015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",14776,14778,14778,14778,14778,14778,14795,14795,14818,14833,14833,14841,14841,14861,14863,14879,14902,14915,14928,14948,14978,15030,15050,15107,15130,15158,15210,15252,15252,15252,15382,15401,15429,15498,15549,15619,15672,15741
84001017,US,USA,840,1017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",3736,3738,3738,3738,3738,3738,3751,3751,3757,3760,3760,3763,3763,3773,3776,3781,3784,3786,3789,3801,3805,3813,3829,3842,3852,3857,3880,3898,3898,3898,3936,3949,3968,3987,4007,4033,4058,4088
84001019,US,USA,840,1019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",1874,1874,1874,1874,1874,1874,1885,1885,1896,1896,1896,1896,1896,1898,1899,1903,1908,1909,1909,1911,1920,1923,1927,1938,1939,1939,1945,1963,1963,1963,1988,1992,1995,2007,2017,2030,2039,2052
