DATE,PCEPILFE_PC1
2001-02-01,1.88177
2001-03-01,1.77488
2001-04-01,1.89354
2001-05-01,1.82537
2001-06-01,2.00154
2001-07-01,2.04315
2001-08-01,1.98541
2001-09-01,1.17420
2001-10-01,1.75472
2001-11-01,1.78689
2001-12-01,1.73881
2002-01-01,1.44136
2002-02-01,1.47878
2002-03-01,1.50760
2002-04-01,1.63637
2002-05-01,1.73223
2002-06-01,1.65511
2002-07-01,1.58029
2002-08-01,1.71569
2002-09-01,2.43384
2002-10-01,1.79828
2002-11-01,1.69220
2002-12-01,1.74823
2003-01-01,1.74187
2003-02-01,1.67426
2003-03-01,1.69509
2003-04-01,1.50483
2003-05-01,1.51773
2003-06-01,1.41267
2003-07-01,1.44987
2003-08-01,1.34713
2003-09-01,1.29972
2003-10-01,1.34160
2003-11-01,1.35501
2003-12-01,1.40713
2004-01-01,1.61141
2004-02-01,1.67719
2004-03-01,1.71984
2004-04-01,1.85878
2004-05-01,1.87189
2004-06-01,2.01810
2004-07-01,1.95751
2004-08-01,1.94004
2004-09-01,2.01861
2004-10-01,2.05508
2004-11-01,2.10530
2004-12-01,2.11710
2005-01-01,2.17679
2005-02-01,2.16826
2005-03-01,2.22626
2005-04-01,2.10467
2005-05-01,2.19307
2005-06-01,2.05312
2005-07-01,2.03765
2005-08-01,2.06364
2005-09-01,2.11145
2005-10-01,2.21200
2005-11-01,2.29050
2005-12-01,2.27638
2006-01-01,2.15656
2006-02-01,2.11790
2006-03-01,2.11379
2006-04-01,2.24109
2006-05-01,2.19571
2006-06-01,2.37573
2006-07-01,2.34201
2006-08-01,2.45064
2006-09-01,2.39237
2006-10-01,2.27131
2006-11-01,2.06919
2006-12-01,2.13493
2007-01-01,2.35092
2007-02-01,2.44980
2007-03-01,2.28564
2007-04-01,2.12628
2007-05-01,2.03434
2007-06-01,1.94931
2007-07-01,1.98076
2007-08-01,1.94305
2007-09-01,2.04572
2007-10-01,2.14541
2007-11-01,2.27239
2007-12-01,2.32663
2008-01-01,2.14588
2008-02-01,2.02230
2008-03-01,2.16915
2008-04-01,2.19613
2008-05-01,2.28187
2008-06-01,2.32072
2008-07-01,2.31008
2008-08-01,2.25979
2008-09-01,2.10757
2008-10-01,1.84794
2008-11-01,1.67590
2008-12-01,1.40102
2009-01-01,1.22479
2009-02-01,1.20705
2009-03-01,1.10373
2009-04-01,1.24145
2009-05-01,1.15297
2009-06-01,1.09208
2009-07-01,0.97143
2009-08-01,0.97129
2009-09-01,1.02851
2009-10-01,1.32983
2009-11-01,1.42159
2009-12-01,1.49655
2010-01-01,1.55956
2010-02-01,1.54190
2010-03-01,1.56112
2010-04-01,1.32749
2010-05-01,1.34415
2010-06-01,1.31434
2010-07-01,1.35412
2010-08-01,1.33054
2010-09-01,1.19353
2010-10-01,0.97235
2010-11-01,0.99239
2010-12-01,0.94725
2011-01-01,0.99299
2011-02-01,1.08336
2011-03-01,1.08677
2011-04-01,1.30911
2011-05-01,1.42911
2011-06-01,1.46019
2011-07-01,1.57581
2011-08-01,1.69062
2011-09-01,1.71646
2011-10-01,1.78418
2011-11-01,1.84331
2011-12-01,1.95639
2012-01-01,2.09414
2012-02-01,2.05721
2012-03-01,2.10612
2012-04-01,2.02864
2012-05-01,1.90981
2012-06-01,1.89847
2012-07-01,1.83501
2012-08-01,1.67996
2012-09-01,1.72818
2012-10-01,1.83804
2012-11-01,1.77518
2012-12-01,1.72301
2013-01-01,1.67019
2013-02-01,1.65928
2013-03-01,1.55540
2013-04-01,1.44264
2013-05-01,1.43324
2013-06-01,1.44961
2013-07-01,1.44232
2013-08-01,1.50443
2013-09-01,1.49504
2013-10-01,1.42964
2013-11-01,1.49368
2013-12-01,1.54967
2014-01-01,1.46769
2014-02-01,1.40916
2014-03-01,1.51458
2014-04-01,1.62974
2014-05-01,1.69484
2014-06-01,1.67457
2014-07-01,1.74436
2014-08-01,1.68220
2014-09-01,1.70382
2014-10-01,1.61553
2014-11-01,1.54089
2014-12-01,1.47932
2015-01-01,1.36346
2015-02-01,1.39330
2015-03-01,1.36641
2015-04-01,1.32968
2015-05-01,1.28377
2015-06-01,1.30260
2015-07-01,1.25418
2015-08-01,1.29597
2015-09-01,1.33764
2015-10-01,1.28478
2015-11-01,1.33150
2015-12-01,1.37033
2016-01-01,1.61194
2016-02-01,1.70414
2016-03-01,1.62878
2016-04-01,1.70810
2016-05-01,1.75071
2016-06-01,1.71538
2016-07-01,1.78267
2016-08-01,1.90859
2016-09-01,1.83523
2016-10-01,1.91455
2016-11-01,1.81653
2016-12-01,1.86929
2017-01-01,1.88698
2017-02-01,1.86176
2017-03-01,1.61081
2017-04-01,1.57761
2017-05-01,1.47595
2017-06-01,1.50496
2017-07-01,1.41245
2017-08-01,1.29838
2017-09-01,1.35162
2017-10-01,1.46966
2017-11-01,1.50655
2017-12-01,1.52396
2018-01-01,1.48945
2018-02-01,1.50921
2018-03-01,1.82431
2018-04-01,1.81299
2018-05-01,1.95526
