DATE,SUUR0000SA0_PC1
2000-12-01,2.60000
2001-01-01,2.99103
2001-02-01,2.77502
2001-03-01,2.26378
2001-04-01,2.55906
2001-05-01,2.85152
2001-06-01,2.64447
2001-07-01,2.15054
2001-08-01,2.24829
2001-09-01,2.04280
2001-10-01,1.74927
2001-11-01,1.55642
2001-12-01,1.26706
2002-01-01,0.87125
2002-02-01,0.77146
2002-03-01,1.15496
2002-04-01,1.34357
2002-05-01,0.95602
2002-06-01,0.76336
2002-07-01,1.14833
2002-08-01,1.33843
2002-09-01,1.33460
2002-10-01,1.62369
2002-11-01,1.81992
2002-12-01,2.02117
2003-01-01,2.20729
2003-02-01,2.67943
2003-03-01,2.66413
2003-04-01,1.98864
2003-05-01,1.79924
2003-06-01,1.89394
2003-07-01,1.89215
2003-08-01,2.07547
2003-09-01,2.06961
2003-10-01,1.87970
2003-11-01,1.59925
2003-12-01,1.69811
2004-01-01,1.87793
2004-02-01,1.67754
2004-03-01,1.66821
2004-04-01,2.13556
2004-05-01,2.88372
2004-06-01,2.97398
2004-07-01,2.78552
2004-08-01,2.31054
2004-09-01,2.30415
2004-10-01,2.95203
2004-11-01,3.33333
2004-12-01,3.15399
2005-01-01,2.58065
2005-02-01,2.56645
2005-03-01,2.64357
2005-04-01,3.09091
2005-05-01,2.44123
2005-06-01,2.16606
2005-07-01,2.71003
2005-08-01,3.25203
2005-09-01,4.14414
2005-10-01,3.67384
2005-11-01,2.95699
2005-12-01,2.87770
2006-01-01,3.50404
2006-02-01,3.12779
2006-03-01,3.01954
2006-04-01,3.08642
2006-05-01,3.70697
2006-06-01,3.97527
2006-07-01,3.86983
2006-08-01,3.49956
2006-09-01,1.90311
2006-10-01,1.21003
2006-11-01,1.74064
2006-12-01,2.27273
2007-01-01,1.84896
2007-02-01,2.14645
2007-03-01,2.51121
2007-04-01,2.36612
2007-05-01,2.37617
2007-06-01,2.32710
2007-07-01,1.92803
2007-08-01,1.68047
2007-09-01,2.40917
2007-10-01,3.23228
2007-11-01,3.91873
2007-12-01,3.67094
2008-01-01,3.86687
2008-02-01,3.70980
2008-03-01,3.70859
2008-04-01,3.71868
2008-05-01,4.05596
2008-06-01,4.87218
2008-07-01,5.43376
2008-08-01,5.24242
2008-09-01,4.90144
2008-10-01,3.81768
2008-11-01,1.28662
2008-12-01,0.21600
2009-01-01,0.18709
2009-02-01,0.28466
2009-03-01,-0.42166
2009-04-01,-0.85646
2009-05-01,-1.39329
2009-06-01,-1.44252
2009-07-01,-2.06826
2009-08-01,-1.55932
2009-09-01,-1.45791
2009-10-01,-0.56494
2009-11-01,1.41738
2009-12-01,2.45728
2010-01-01,2.36865
2010-02-01,1.93641
2010-03-01,2.14897
2010-04-01,2.08609
2010-05-01,1.82375
2010-06-01,0.83223
2010-07-01,1.00006
2010-08-01,0.91157
2010-09-01,0.90132
2010-10-01,0.94398
2010-11-01,0.90714
2010-12-01,1.28388
2011-01-01,1.43295
2011-02-01,1.91323
2011-03-01,2.50554
2011-04-01,3.07515
2011-05-01,3.43815
2011-06-01,3.44564
2011-07-01,3.54241
2011-08-01,3.65390
2011-09-01,3.81864
2011-10-01,3.49610
2011-11-01,3.39581
2011-12-01,2.93397
2012-01-01,2.88694
2012-02-01,2.81872
2012-03-01,2.58195
2012-04-01,2.16322
2012-05-01,1.65771
2012-06-01,1.62500
2012-07-01,1.34479
2012-08-01,1.59492
2012-09-01,1.80120
2012-10-01,1.93215
2012-11-01,1.54536
2012-12-01,1.48332
2013-01-01,1.30253
2013-02-01,1.71894
2013-03-01,1.25317
2013-04-01,0.85951
2013-05-01,1.11385
2013-06-01,1.47322
2013-07-01,1.66096
2013-08-01,1.25953
2013-09-01,0.95272
2013-10-01,0.74045
2013-11-01,1.04986
2013-12-01,1.31972
2014-01-01,1.42277
2014-02-01,1.00447
2014-03-01,1.36046
2014-04-01,1.76134
2014-05-01,1.93825
2014-06-01,1.89171
2014-07-01,1.84664
2014-08-01,1.51307
2014-09-01,1.45693
2014-10-01,1.50512
2014-11-01,1.13102
2014-12-01,0.52281
2015-01-01,-0.39547
2015-02-01,-0.36346
2015-03-01,-0.29991
2015-04-01,-0.40436
2015-05-01,-0.17546
2015-06-01,-0.03078
2015-07-01,-0.01540
2015-08-01,-0.00147
2015-09-01,-0.27457
2015-10-01,-0.11480
2015-11-01,0.21168
2015-12-01,0.43291
2016-01-01,1.10797
2016-02-01,0.67138
2016-03-01,0.50826
2016-04-01,0.82087
2016-05-01,0.67511
2016-06-01,0.68773
2016-07-01,0.46637
2016-08-01,0.66189
2016-09-01,1.09764
2016-10-01,1.32685
2016-11-01,1.37378
2016-12-01,1.80506
2017-01-01,2.27391
2017-02-01,2.55645
2017-03-01,2.06848
2017-04-01,1.81762
2017-05-01,1.48070
2017-06-01,1.20878
2017-07-01,1.32548
2017-08-01,1.63546
2017-09-01,2.03163
2017-10-01,1.75445
2017-11-01,1.96790
2017-12-01,1.88309
2018-01-01,1.81476
2018-02-01,1.99129
2018-03-01,2.18329
2018-04-01,2.30891
2018-05-01,2.61874
2018-06-01,2.72036
