DATE,TRMMEANCPIM094SFRBCLE_PC1
1983-12-01,3.87557
1984-01-01,4.02647
1984-02-01,4.07396
1984-03-01,4.14684
1984-04-01,4.15440
1984-05-01,4.03773
1984-06-01,4.03709
1984-07-01,4.09964
1984-08-01,4.18369
1984-09-01,4.22950
1984-10-01,4.20488
1984-11-01,4.07000
1984-12-01,4.05267
1985-01-01,3.80566
1985-02-01,3.87703
1985-03-01,3.96098
1985-04-01,3.80869
1985-05-01,3.78413
1985-06-01,3.88942
1985-07-01,3.74770
1985-08-01,3.49777
1985-09-01,3.41915
1985-10-01,3.40627
1985-11-01,3.63119
1985-12-01,3.74478
1986-01-01,3.81596
1986-02-01,3.48821
1986-03-01,3.28949
1986-04-01,3.26209
1986-05-01,3.25581
1986-06-01,3.24326
1986-07-01,3.27231
1986-08-01,3.37704
1986-09-01,3.42346
1986-10-01,3.39974
1986-11-01,3.21105
1986-12-01,3.14555
1987-01-01,3.27465
1987-02-01,3.43412
1987-03-01,3.48903
1987-04-01,3.70026
1987-05-01,3.83358
1987-06-01,3.78029
1987-07-01,3.82667
1987-08-01,3.96045
1987-09-01,4.03084
1987-10-01,4.07389
1987-11-01,4.09745
1987-12-01,3.93389
1988-01-01,3.77085
1988-02-01,3.76019
1988-03-01,3.79693
1988-04-01,3.79001
1988-05-01,3.74376
1988-06-01,3.83903
1988-07-01,3.94463
1988-08-01,3.94319
1988-09-01,4.05401
1988-10-01,4.11811
1988-11-01,4.10576
1988-12-01,4.26532
1989-01-01,4.37498
1989-02-01,4.49907
1989-03-01,4.61710
1989-04-01,4.56930
1989-05-01,4.74939
1989-06-01,4.65997
1989-07-01,4.64319
1989-08-01,4.47237
1989-09-01,4.23858
1989-10-01,4.34980
1989-11-01,4.49924
1989-12-01,4.57988
1990-01-01,4.64747
1990-02-01,4.62443
1990-03-01,4.62694
1990-04-01,4.56137
1990-05-01,4.36056
1990-06-01,4.60186
1990-07-01,4.69616
1990-08-01,4.98997
1990-09-01,5.09378
1990-10-01,4.95259
1990-11-01,4.88696
1990-12-01,4.85624
1991-01-01,4.96195
1991-02-01,4.90506
1991-03-01,4.68818
1991-04-01,4.64435
1991-05-01,4.74133
1991-06-01,4.42887
1991-07-01,4.29063
1991-08-01,4.06268
1991-09-01,4.05573
1991-10-01,3.87823
1991-11-01,3.88454
1991-12-01,3.84861
