Date,Software
1/4/2010,0.99
1/5/2010,0.99
1/6/2010,1
1/7/2010,0.99
1/8/2010,0.99
1/11/2010,0.99
1/12/2010,0.99
1/13/2010,0.99
1/14/2010,0.99
1/15/2010,0.99
1/19/2010,0.99
1/20/2010,0.98
1/21/2010,0.99
1/22/2010,0.96
1/25/2010,0.96
1/26/2010,0.96
1/27/2010,0.96
1/28/2010,0.96
1/29/2010,0.97
2/1/2010,0.97
2/2/2010,0.96
2/3/2010,0.96
2/4/2010,0.96
2/5/2010,0.96
2/8/2010,0.96
2/9/2010,0.96
2/10/2010,0.97
2/11/2010,0.97
2/12/2010,0.97
2/16/2010,0.97
2/17/2010,0.97
2/18/2010,0.97
2/19/2010,0.98
2/22/2010,0.98
2/23/2010,0.98
2/24/2010,0.99
2/25/2010,0.99
2/26/2010,0.98
3/1/2010,0.98
3/2/2010,0.99
3/3/2010,0.99
3/4/2010,0.99
3/5/2010,0.99
3/8/2010,0.99
3/9/2010,0.99
3/10/2010,0.97
3/11/2010,0.97
3/12/2010,0.98
3/15/2010,0.98
3/16/2010,0.97
3/17/2010,0.97
3/18/2010,0.97
3/19/2010,0.97
3/22/2010,0.97
3/23/2010,0.96
3/24/2010,0.95
3/25/2010,0.95
3/26/2010,0.95
3/29/2010,0.94
3/30/2010,0.94
3/31/2010,0.93
4/1/2010,0.92
4/5/2010,0.94
4/6/2010,0.94
4/7/2010,0.94
4/8/2010,0.95
4/9/2010,0.95
4/12/2010,0.96
4/13/2010,0.96
4/14/2010,0.95
4/15/2010,0.95
4/16/2010,0.94
4/19/2010,0.94
4/20/2010,0.94
4/21/2010,0.94
4/22/2010,0.94
4/23/2010,0.93
4/26/2010,0.9
4/27/2010,0.9
4/28/2010,0.9
4/29/2010,0.9
4/30/2010,0.9
5/3/2010,0.9
5/4/2010,0.91
5/5/2010,0.91
5/6/2010,0.91
5/7/2010,0.91
5/10/2010,0.9
5/11/2010,0.9
5/12/2010,0.9
5/13/2010,0.9
5/14/2010,0.9
5/17/2010,0.9
5/18/2010,0.9
5/19/2010,0.9
5/20/2010,0.91
5/21/2010,0.91
5/24/2010,0.91
5/25/2010,0.91
5/26/2010,0.91
5/27/2010,0.92
5/28/2010,0.91
6/1/2010,0.92
6/2/2010,0.92
6/3/2010,0.93
6/4/2010,0.94
6/7/2010,0.94
6/8/2010,0.94
6/9/2010,0.94
6/10/2010,0.93
6/11/2010,0.94
6/14/2010,0.94
6/15/2010,0.95
6/16/2010,0.94
6/17/2010,0.94
6/18/2010,0.94
6/21/2010,0.94
6/22/2010,0.94
6/23/2010,0.94
6/24/2010,0.93
6/25/2010,0.93
6/28/2010,0.93
6/29/2010,0.94
6/30/2010,0.93
7/1/2010,0.93
7/2/2010,0.93
7/6/2010,0.93
7/7/2010,0.92
7/8/2010,0.92
7/9/2010,0.92
7/12/2010,0.92
7/13/2010,0.92
7/14/2010,0.92
7/15/2010,0.92
7/16/2010,0.92
7/19/2010,0.92
7/20/2010,0.92
7/21/2010,0.92
7/22/2010,0.93
7/23/2010,0.92
7/26/2010,0.92
7/27/2010,0.92
7/28/2010,0.92
7/29/2010,0.92
7/30/2010,0.92
8/2/2010,0.92
8/3/2010,0.92
8/4/2010,0.92
8/5/2010,0.92
8/6/2010,0.92
8/9/2010,0.92
8/10/2010,0.92
8/11/2010,0.91
8/12/2010,0.91
8/13/2010,0.91
8/16/2010,0.91
8/17/2010,0.91
8/18/2010,0.91
8/19/2010,0.91
8/20/2010,0.91
8/23/2010,0.91
8/24/2010,0.91
8/25/2010,0.91
8/26/2010,0.91
8/27/2010,0.91
8/30/2010,0.91
8/31/2010,0.91
9/1/2010,0.91
9/2/2010,0.91
9/3/2010,0.91
9/7/2010,0.9
9/8/2010,0.9
9/9/2010,0.9
9/10/2010,0.9
9/13/2010,0.91
9/14/2010,0.91
9/15/2010,0.91
9/16/2010,0.91
9/17/2010,0.91
9/20/2010,0.91
9/21/2010,0.91
9/22/2010,0.91
9/23/2010,0.91
9/24/2010,0.91
9/27/2010,0.91
9/28/2010,0.91
9/29/2010,0.91
9/30/2010,0.91
10/1/2010,0.91
10/4/2010,0.91
10/5/2010,0.91
10/6/2010,0.91
10/7/2010,0.91
10/8/2010,0.91
10/11/2010,0.91
10/12/2010,0.91
10/13/2010,0.91
10/14/2010,0.92
10/15/2010,0.91
10/18/2010,0.92
10/19/2010,0.92
10/20/2010,0.92
10/21/2010,0.92
10/22/2010,0.92
10/25/2010,0.92
10/26/2010,0.92
10/27/2010,0.92
10/28/2010,0.92
10/29/2010,0.92
11/1/2010,0.92
11/2/2010,0.92
11/3/2010,0.92
11/4/2010,0.92
11/5/2010,0.92
11/8/2010,0.92
11/9/2010,0.92
11/10/2010,0.92
11/11/2010,0.92
11/12/2010,0.92
11/15/2010,0.92
11/16/2010,0.92
11/17/2010,0.92
11/18/2010,0.92
11/19/2010,0.92
11/22/2010,0.92
11/23/2010,0.92
11/24/2010,0.92
11/26/2010,0.92
11/29/2010,0.92
11/30/2010,0.92
12/1/2010,0.92
12/2/2010,0.92
12/3/2010,0.92
12/6/2010,0.92
12/7/2010,0.92
12/8/2010,0.92
12/9/2010,0.92
12/10/2010,0.92
12/13/2010,0.92
12/14/2010,0.92
12/15/2010,0.92
12/16/2010,0.92
12/17/2010,0.92
12/20/2010,0.92
12/21/2010,0.92
12/22/2010,0.92
12/23/2010,0.92
12/27/2010,0.92
12/28/2010,0.92
12/29/2010,0.92
12/30/2010,0.92
12/31/2010,0.92
1/3/2011,0.92
1/4/2011,0.92
1/5/2011,0.92
1/6/2011,0.92
1/7/2011,0.92
1/10/2011,0.92
1/11/2011,0.92
1/12/2011,0.92
1/13/2011,0.91
1/14/2011,0.92
1/18/2011,0.92
1/19/2011,0.92
1/20/2011,0.92
1/21/2011,0.92
1/24/2011,0.92
1/25/2011,0.92
1/26/2011,0.92
1/27/2011,0.92
1/28/2011,0.93
1/31/2011,0.93
2/1/2011,0.93
2/2/2011,0.93
2/3/2011,0.93
2/4/2011,0.93
2/7/2011,0.93
2/8/2011,0.93
2/9/2011,0.93
2/10/2011,0.93
2/11/2011,0.93
2/14/2011,0.93
2/15/2011,0.93
2/16/2011,0.92
2/17/2011,0.92
2/18/2011,0.92
2/22/2011,0.93
2/23/2011,0.92
2/24/2011,0.92
2/25/2011,0.92
2/28/2011,0.92
3/1/2011,0.93
3/2/2011,0.93
3/3/2011,0.93
3/4/2011,0.93
3/7/2011,0.93
3/8/2011,0.93
3/9/2011,0.93
3/10/2011,0.93
3/11/2011,0.93
3/14/2011,0.93
3/15/2011,0.93
3/16/2011,0.93
3/17/2011,0.93
3/18/2011,0.93
3/21/2011,0.94
3/22/2011,0.94
3/23/2011,0.94
3/24/2011,0.94
3/25/2011,0.94
3/28/2011,0.94
3/29/2011,0.94
3/30/2011,0.94
3/31/2011,0.94
4/1/2011,0.94
4/4/2011,0.94
4/5/2011,0.94
4/6/2011,0.94
4/7/2011,0.94
4/8/2011,0.94
4/11/2011,0.94
4/12/2011,0.94
4/13/2011,0.94
4/14/2011,0.94
4/15/2011,0.94
4/18/2011,0.94
4/19/2011,0.94
4/20/2011,0.94
4/21/2011,0.94
4/25/2011,0.94
4/26/2011,0.95
4/27/2011,0.95
4/28/2011,0.95
4/29/2011,0.95
5/2/2011,0.95
5/3/2011,0.95
5/4/2011,0.95
5/5/2011,0.95
5/6/2011,0.95
5/9/2011,0.97
5/10/2011,0.97
5/11/2011,0.97
5/12/2011,0.97
5/13/2011,0.97
5/16/2011,0.98
5/17/2011,0.98
5/18/2011,0.98
5/19/2011,0.97
5/20/2011,0.98
5/23/2011,0.98
5/24/2011,0.98
5/25/2011,0.97
5/26/2011,0.97
5/27/2011,0.97
5/31/2011,0.97
6/1/2011,0.98
6/2/2011,0.97
6/3/2011,0.97
6/6/2011,0.96
6/7/2011,0.96
6/8/2011,0.96
6/9/2011,0.97
6/10/2011,0.96
6/13/2011,0.96
6/14/2011,0.96
6/15/2011,0.96
6/16/2011,0.96
6/17/2011,0.96
6/20/2011,0.96
6/21/2011,0.96
6/22/2011,0.96
6/23/2011,0.96
6/24/2011,0.96
6/27/2011,0.97
6/28/2011,0.97
6/29/2011,0.97
6/30/2011,0.97
7/1/2011,0.96
7/5/2011,0.96
7/6/2011,0.97
7/7/2011,0.97
7/8/2011,0.97
7/11/2011,0.97
7/12/2011,0.97
7/13/2011,0.97
7/14/2011,0.97
7/15/2011,0.97
7/18/2011,0.97
7/19/2011,0.98
7/20/2011,0.98
7/21/2011,0.98
7/22/2011,0.98
7/25/2011,0.98
7/26/2011,0.98
7/27/2011,0.98
7/28/2011,0.98
7/29/2011,0.98
8/1/2011,0.98
8/2/2011,0.98
8/3/2011,0.98
8/4/2011,0.98
8/5/2011,0.98
8/8/2011,0.99
8/9/2011,1
8/10/2011,1.02
8/11/2011,1.02
8/12/2011,1.02
8/15/2011,1.02
8/16/2011,1.02
8/17/2011,1.02
8/18/2011,1.02
8/19/2011,1.01
8/22/2011,1.01
8/23/2011,1.01
8/24/2011,1.01
8/25/2011,1.02
8/26/2011,1.02
8/29/2011,1.02
8/30/2011,1.02
8/31/2011,1.02
9/1/2011,1.03
9/2/2011,1.03
9/6/2011,1.03
9/7/2011,1.03
9/8/2011,1.03
9/9/2011,1.03
9/12/2011,1.03
9/13/2011,1.03
9/14/2011,1.03
9/15/2011,1.03
9/16/2011,1.03
9/19/2011,1.03
9/20/2011,1.03
9/21/2011,1.03
9/22/2011,1.03
9/23/2011,1.04
9/26/2011,1.04
9/27/2011,1.04
9/28/2011,1.04
9/29/2011,1.04
9/30/2011,1.04
10/3/2011,1.04
10/4/2011,1.05
10/5/2011,1.04
10/6/2011,1.04
10/7/2011,1.05
10/10/2011,1.04
10/11/2011,1.04
10/12/2011,1.04
10/13/2011,1.04
10/14/2011,1.04
10/17/2011,1.04
10/18/2011,1.04
10/19/2011,1.03
10/20/2011,1.03
10/21/2011,1.03
10/24/2011,1.03
10/25/2011,1.03
10/26/2011,1.03
10/27/2011,1.03
10/28/2011,1.03
10/31/2011,1.03
11/1/2011,1.03
11/2/2011,1.03
11/3/2011,1.03
11/4/2011,1.03
11/7/2011,1.03
11/8/2011,1.03
11/9/2011,1.04
11/10/2011,1.04
11/11/2011,1.04
11/14/2011,1.04
11/15/2011,1.04
11/16/2011,1.05
11/17/2011,1.05
11/18/2011,1.05
11/21/2011,1.05
11/22/2011,1.05
11/23/2011,1.05
11/25/2011,1.05
11/28/2011,1.04
11/29/2011,1.05
11/30/2011,1.05
12/1/2011,1.04
12/2/2011,1.04
12/5/2011,1.04
12/6/2011,1.05
12/7/2011,1.04
12/8/2011,1.05
12/9/2011,1.05
12/12/2011,1.05
12/13/2011,1.04
12/14/2011,1.05
12/15/2011,1.05
12/16/2011,1.05
12/19/2011,1.05
12/20/2011,1.04
12/21/2011,1.05
12/22/2011,1.05
12/23/2011,1.05
12/27/2011,1.05
12/28/2011,1.05
12/29/2011,1.05
12/30/2011,1.05
1/3/2012,1.05
1/4/2012,1.05
1/5/2012,1.05
1/6/2012,1.05
1/9/2012,1.05
1/10/2012,1.05
1/11/2012,1.05
1/12/2012,1.05
1/13/2012,1.05
1/17/2012,1.05
1/18/2012,1.05
1/19/2012,1.05
1/20/2012,1.05
1/23/2012,1.05
1/24/2012,1.05
